,county,awaiting_testing,negative,positive,percent_positive,total_tested,file_name,inconclusive,date,day_of_week,new_negatives,new_cases,week,day
0,Alachua,38.0,34,4.0,5.0,76.0,html version of FL COVID Rep 03-16-2020,0.0,2020-03-16,0,,,12,Monday
1,Alachua,46.0,63,7.0,6.0,116.0,html version of FL COVID Rep 03-18-2020,0.0,2020-03-18,2,29.0,3.0,12,Wednesday
2,Alachua,34.0,96,10.0,7.0,140.0,html version of FL COVID Rep 03-19-2020,0.0,2020-03-19,3,33.0,3.0,12,Thursday
3,Alachua,50.0,273,15.0,5.0,338.0,html version of FL COVID Rep 03-20-2020,0.0,2020-03-20,4,177.0,5.0,12,Friday
4,Alachua,27.0,393,25.0,6.0,445.0,html version of FL COVID Rep 03-21-2020(PM),0.0,2020-03-21,5,120.0,10.0,12,Saturday
5,Alachua,25.0,452,29.0,6.0,506.0,html version of FL COVID Rep 03-22-2020,0.0,2020-03-22,6,59.0,4.0,12,Sunday
6,Alachua,21.0,528,35.0,6.0,584.0,html version of FL COVID Rep 03-22-2020(PM),0.0,2020-03-22,6,76.0,6.0,12,Sunday
7,Alachua,27.0,547,37.0,6.0,611.0,html version of FL COVID Rep 03-23-2020,0.0,2020-03-23,0,19.0,2.0,13,Monday
8,Alachua,45.0,549,36.0,6.0,630.0,html version of FL COVID Rep 03-23-2020(PM),0.0,2020-03-23,0,2.0,-1.0,13,Monday
9,Alachua,42.0,590,37.0,6.0,669.0,html version of FL COVID Rep 03-24-2020,0.0,2020-03-24,1,41.0,1.0,13,Tuesday
10,Alachua,42.0,590,37.0,6.0,669.0,html version of FL COVID Rep 03-24-2020(PM),0.0,2020-03-24,1,0.0,0.0,13,Tuesday
11,Alachua,52.0,668,45.0,6.0,765.0,html version of FL COVID Rep 03-25-2020,0.0,2020-03-25,2,78.0,8.0,13,Wednesday
12,Alachua,53.0,749,46.0,6.0,848.0,html version of FL COVID Rep 03-25-2020(PM),0.0,2020-03-25,2,81.0,1.0,13,Wednesday
13,Alachua,32.0,813,49.0,6.0,894.0,html version of FL COVID Rep 03-26-2020,0.0,2020-03-26,3,64.0,3.0,13,Thursday
14,Alachua,30.0,871,53.0,6.0,954.0,html version of FL COVID Rep 03-26-2020(PM),0.0,2020-03-26,3,58.0,4.0,13,Thursday
15,Alachua,29.0,956,57.0,6.0,1042.0,html version of FL COVID Rep 03-27-2020,0.0,2020-03-27,4,85.0,4.0,13,Friday
16,Alachua,22.0,1008,60.0,6.0,1090.0,html version of FL COVID Rep 03-27-2020(PM),0.0,2020-03-27,4,52.0,3.0,13,Friday
17,Alachua,21.0,1078,67.0,6.0,1166.0,html version of FL COVID Rep 03-28-2020,0.0,2020-03-28,5,70.0,7.0,13,Saturday
18,Alachua,21.0,1111,68.0,6.0,1200.0,html version of FL COVID Rep 03-28-2020(PM),0.0,2020-03-28,5,33.0,1.0,13,Saturday
19,Alachua,21.0,1160,71.0,6.0,1252.0,html version of FL COVID Rep 03-29-2020,0.0,2020-03-29,6,49.0,3.0,13,Sunday
20,Alachua,19.0,1177,72.0,6.0,1268.0,html version of FL COVID Rep 03-29-2020(PM),0.0,2020-03-29,6,17.0,1.0,13,Sunday
21,Alachua,15.0,1219,79.0,6.0,1313.0,html version of FL COVID Rep 03-30-2020,0.0,2020-03-30,0,42.0,7.0,14,Monday
22,Alachua,16.0,1230,80.0,6.0,1326.0,html version of FL COVID Rep 03-30-2020(PM),0.0,2020-03-30,0,11.0,1.0,14,Monday
23,Alachua,16.0,1304,85.0,6.0,1405.0,html version of FL COVID Rep 03-31-2020,0.0,2020-03-31,1,74.0,5.0,14,Tuesday
24,Alachua,16.0,1340,87.0,6.0,1443.0,html version of FL COVID Rep 03-31-2020(PM),0.0,2020-03-31,1,36.0,2.0,14,Tuesday
25,Alachua,16.0,1417,90.0,6.0,1523.0,html version of FL COVID Rep 04-01-2020,0.0,2020-04-01,2,77.0,3.0,14,Wednesday
26,Alachua,15.0,1544,93.0,6.0,1652.0,html version of FL COVID Rep 04-02-2020,0.0,2020-04-02,3,127.0,3.0,14,Thursday
27,Alachua,15.0,1554,95.0,6.0,1664.0,html version of FL COVID Rep 04-02-2020(PM),0.0,2020-04-02,3,10.0,2.0,14,Thursday
28,Alachua,15.0,1768,108.0,6.0,1891.0,html version of FL COVID Rep 04-03-2020,0.0,2020-04-03,4,214.0,13.0,14,Friday
29,Alachua,15.0,1805,110.0,6.0,1930.0,html version of FL COVID Rep 04-03-2020(PM),0.0,2020-04-03,4,37.0,2.0,14,Friday
30,Alachua,13.0,1937,115.0,6.0,2065.0,html version of FL COVID Rep 04-04-2020,0.0,2020-04-04,5,132.0,5.0,14,Saturday
31,Alachua,14.0,1970,116.0,6.0,2100.0,html version of FL COVID Rep 04-04-2020(PM),0.0,2020-04-04,5,33.0,1.0,14,Saturday
32,Alachua,12.0,2083,122.0,6.0,2217.0,html version of FL COVID Rep 04-05-2020,0.0,2020-04-05,6,113.0,6.0,14,Sunday
33,Alachua,12.0,2090,123.0,6.0,2225.0,html version of FL COVID Rep 04-05-2020(PM),0.0,2020-04-05,6,7.0,1.0,14,Sunday
34,Alachua,12.0,2194,131.0,6.0,2340.0,html version of FL COVID Rep 04-06-2020,3.0,2020-04-06,0,104.0,8.0,15,Monday
35,Alachua,12.0,2203,133.0,6.0,2351.0,html version of FL COVID Rep 04-06-2020(PM),3.0,2020-04-06,0,9.0,2.0,15,Monday
36,Alachua,8.0,2513,141.0,5.0,2668.0,html version of FL COVID Rep 04-07-2020,6.0,2020-04-07,1,310.0,8.0,15,Tuesday
37,Alachua,8.0,2527,139.0,5.0,2681.0,html version of FL COVID Rep 04-07-2020(PM),7.0,2020-04-07,1,14.0,-2.0,15,Tuesday
38,Alachua,8.0,2667,144.0,5.0,2827.0,html version of FL COVID Rep 04-08-2020,8.0,2020-04-08,2,140.0,5.0,15,Wednesday
39,Alachua,8.0,2666,144.0,5.0,2826.0,html version of FL COVID Rep 04-08-2020(PM),8.0,2020-04-08,2,-1.0,0.0,15,Wednesday
40,Alachua,6.0,3020,150.0,5.0,3184.0,html version of FL COVID Rep 04-09-2020,8.0,2020-04-09,3,354.0,6.0,15,Thursday
41,Alachua,7.0,3052,154.0,5.0,3221.0,html version of FL COVID Rep 04-09-2020(PM),8.0,2020-04-09,3,32.0,4.0,15,Thursday
42,Alachua,6.0,3260,167.0,5.0,3442.0,html version of FL COVID Rep 04-10-2020,9.0,2020-04-10,4,208.0,13.0,15,Friday
43,Alachua,6.0,3317,167.0,5.0,3499.0,html version of FL COVID Rep 04-10-2020(PM),9.0,2020-04-10,4,57.0,0.0,15,Friday
44,Alachua,6.0,3450,174.0,5.0,3639.0,html version of FL COVID Rep 04-11-2020,9.0,2020-04-11,5,133.0,7.0,15,Saturday
45,Alachua,6.0,3466,174.0,5.0,3655.0,html version of FL COVID Rep 04-11-2020(PM),9.0,2020-04-11,5,16.0,0.0,15,Saturday
46,Alachua,6.0,3609,177.0,5.0,3801.0,html version of FL COVID Rep 04-12-2020,9.0,2020-04-12,6,143.0,3.0,15,Sunday
47,Alachua,6.0,3625,215.0,6.0,3855.0,html version of FL COVID Rep 04-12-2020(PM),9.0,2020-04-12,6,16.0,38.0,15,Sunday
48,Alachua,4.0,3809,183.0,5.0,4005.0,html version of FL COVID Rep 04-13-2020,9.0,2020-04-13,0,184.0,-32.0,16,Monday
49,Alachua,4.0,3801,187.0,5.0,4001.0,html version of FL COVID Rep 04-13-2020(PM),9.0,2020-04-13,0,-8.0,4.0,16,Monday
50,Alachua,4.0,3895,192.0,5.0,4101.0,html version of FL COVID Rep 04-14-2020,10.0,2020-04-14,1,94.0,5.0,16,Tuesday
51,Alachua,4.0,3911,195.0,5.0,4121.0,html version of FL COVID Rep 04-14-2020(PM),11.0,2020-04-14,1,16.0,3.0,16,Tuesday
52,Alachua,4.0,4008,196.0,5.0,4219.0,html version of FL COVID Rep 04-15-2020,11.0,2020-04-15,2,97.0,1.0,16,Wednesday
53,Alachua,4.0,4033,196.0,5.0,4243.0,html version of FL COVID Rep 04-15-2020(PM),10.0,2020-04-15,2,25.0,0.0,16,Wednesday
54,Alachua,4.0,4355,199.0,4.0,4568.0,html version of FL COVID Rep 04-16-2020,10.0,2020-04-16,3,322.0,3.0,16,Thursday
55,Alachua,4.0,4392,200.0,4.0,4606.0,html version of FL COVID Rep 04-16-2020(PM),10.0,2020-04-16,3,37.0,1.0,16,Thursday
56,Alachua,4.0,4542,202.0,4.0,4757.0,html version of FL COVID Rep 04-17-2020,9.0,2020-04-17,4,150.0,2.0,16,Friday
57,Alachua,3.0,4577,201.0,4.0,4790.0,html version of FL COVID Rep 04-17-2020(PM),9.0,2020-04-17,4,35.0,-1.0,16,Friday
58,Alachua,3.0,4652,205.0,4.0,4868.0,html version of FL COVID Rep 04-18-2020,8.0,2020-04-18,5,75.0,4.0,16,Saturday
59,Alachua,3.0,4689,205.0,4.0,4906.0,html version of FL COVID Rep 04-18-2020(PM),9.0,2020-04-18,5,37.0,0.0,16,Saturday
60,Alachua,3.0,4824,209.0,4.0,5044.0,html version of FL COVID Rep 04-19-2020,8.0,2020-04-19,6,135.0,4.0,16,Sunday
61,Alachua,3.0,4843,210.0,4.0,5064.0,html version of FL COVID Rep 04-19-2020(PM),8.0,2020-04-19,6,19.0,1.0,16,Sunday
62,Alachua,3.0,4988,215.0,4.0,5214.0,html version of FL COVID Rep 04-20-2020,8.0,2020-04-20,0,145.0,5.0,17,Monday
63,Alachua,3.0,5022,218.0,4.0,5251.0,html version of FL COVID Rep 04-20-2020(PM),8.0,2020-04-20,0,34.0,3.0,17,Monday
64,Alachua,3.0,5136,223.0,4.0,5370.0,html version of FL COVID Rep 04-21-2020,8.0,2020-04-21,1,114.0,5.0,17,Tuesday
65,Alachua,4.0,5163,224.0,4.0,5399.0,html version of FL COVID Rep 04-21-2020(PM),8.0,2020-04-21,1,27.0,1.0,17,Tuesday
66,Alachua,1.0,5260,227.0,4.0,5496.0,html version of FL COVID Rep 04-22-2020,8.0,2020-04-22,2,97.0,3.0,17,Wednesday
67,Alachua,0.0,5271,226.0,4.0,5505.0,html version of FL COVID Rep 04-22-2020(PM),8.0,2020-04-22,2,11.0,-1.0,17,Wednesday
68,Alachua,0.0,5356,229.0,4.0,5593.0,html version of FL COVID Rep 04-23-2020,8.0,2020-04-23,3,85.0,3.0,17,Thursday
69,Alachua,0.0,5370,231.0,4.0,5609.0,html version of FL COVID Rep 04-23-2020(PM),8.0,2020-04-23,3,14.0,2.0,17,Thursday
70,Alachua,0.0,5775,240.0,4.0,6022.0,html version of FL COVID Rep 04-24-2020,7.0,2020-04-24,4,405.0,9.0,17,Friday
71,Alachua,0.0,5775,244.0,4.0,6026.0,html version of FL COVID Rep 04-24-2020(PM),7.0,2020-04-24,4,0.0,4.0,17,Friday
72,Alachua,0.0,5958,245.0,4.0,6210.0,html version of FL COVID Rep 04-25-2020,7.0,2020-04-25,5,183.0,1.0,17,Saturday
73,Alachua,0.0,6141,251.0,4.0,6399.0,html version of FL COVID Rep 04-26-2020,7.0,2020-04-26,6,183.0,6.0,17,Sunday
74,Alachua,0.0,6271,254.0,4.0,6532.0,html version of FL COVID Rep 04-27-2020,7.0,2020-04-27,0,130.0,3.0,18,Monday
75,Alachua,0.0,6369,255.0,4.0,6631.0,html version of FL COVID Rep 04-28-2020,7.0,2020-04-28,1,98.0,1.0,18,Tuesday
76,Alachua,0.0,6471,262.0,4.0,6740.0,html version of FL COVID Rep 04-29-2020,7.0,2020-04-29,2,102.0,7.0,18,Wednesday
77,Alachua,0.0,6627,267.0,4.0,6901.0,html version of FL COVID Rep 04-30-2020,7.0,2020-04-30,3,156.0,5.0,18,Thursday
78,Alachua,0.0,6785,273.0,4.0,7065.0,html version of FL COVID Rep 05-01-2020,7.0,2020-05-01,4,158.0,6.0,18,Friday
79,Alachua,0.0,6892,275.0,4.0,7174.0,html version of FL COVID Rep 05-02-2020,7.0,2020-05-02,5,107.0,2.0,18,Saturday
80,Alachua,0.0,7056,286.0,4.0,7349.0,html version of FL COVID Rep 05-03-2020,7.0,2020-05-03,6,164.0,11.0,18,Sunday
81,Alachua,0.0,7129,289.0,4.0,7425.0,html version of FL COVID Rep 05-04-2020,7.0,2020-05-04,0,73.0,3.0,19,Monday
82,Alachua,0.0,7306,289.0,4.0,7602.0,html version of FL COVID Rep 05-05-2020,7.0,2020-05-05,1,177.0,0.0,19,Tuesday
83,Alachua,0.0,7487,295.0,4.0,7789.0,html version of FL COVID Rep 05-06-2020,7.0,2020-05-06,2,181.0,6.0,19,Wednesday
84,Alachua,0.0,7550,300.0,4.0,7858.0,html version of FL COVID Rep 05-07-2020,8.0,2020-05-07,3,63.0,5.0,19,Thursday
85,Alachua,0.0,7688,306.0,4.0,8002.0,html version of FL COVID Rep 05-08-2020,8.0,2020-05-08,4,138.0,6.0,19,Friday
86,Alachua,0.0,7897,308.0,4.0,8213.0,html version of FL COVID Rep 05-09-2020,8.0,2020-05-09,5,209.0,2.0,19,Saturday
87,Alachua,0.0,8124,312.0,4.0,8444.0,html version of FL COVID Rep 05-10-2020,8.0,2020-05-10,6,227.0,4.0,19,Sunday
88,Alachua,0.0,8753,320.0,4.0,9080.0,html version of FL COVID Rep 05-11-2020,7.0,2020-05-11,0,629.0,8.0,20,Monday
89,Alachua,0.0,9159,324.0,3.0,9490.0,html version of FL COVID Rep 05-12-2020,7.0,2020-05-12,1,406.0,4.0,20,Tuesday
90,Alachua,0.0,9427,326.0,3.0,9760.0,html version of FL COVID Rep 05-13-2020,7.0,2020-05-13,2,268.0,2.0,20,Wednesday
91,Alachua,0.0,9630,330.0,3.0,9967.0,html version of FL COVID Rep 05-14-2020,7.0,2020-05-14,3,203.0,4.0,20,Thursday
92,Alachua,0.0,9708,330.0,3.0,10045.0,html version of FL COVID Rep 05-15-2020,7.0,2020-05-15,4,78.0,0.0,20,Friday
93,Alachua,0.0,9874,329.0,3.0,10210.0,html version of FL COVID Rep 05-16-2020,7.0,2020-05-16,5,166.0,-1.0,20,Saturday
94,Alachua,0.0,10417,332.0,3.0,10763.0,html version of FL COVID Rep 05-17-2020,14.0,2020-05-17,6,543.0,3.0,20,Sunday
95,Alachua,0.0,10798,337.0,3.0,11149.0,html version of FL COVID Rep 05-18-2020,14.0,2020-05-18,0,381.0,5.0,21,Monday
96,Alachua,0.0,11276,339.0,3.0,11629.0,html version of FL COVID Rep 05-19-2020,14.0,2020-05-19,1,478.0,2.0,21,Tuesday
97,Alachua,0.0,12506,344.0,3.0,12864.0,html version of FL COVID Rep 05-20-2020,14.0,2020-05-20,2,1230.0,5.0,21,Wednesday
98,Alachua,0.0,13022,346.0,3.0,13382.0,html version of FL COVID Rep 05-21-2020,14.0,2020-05-21,3,516.0,2.0,21,Thursday
99,Alachua,0.0,13373,354.0,3.0,13741.0,html version of FL COVID Rep 05-22-2020,14.0,2020-05-22,4,351.0,8.0,21,Friday
100,Alachua,0.0,14019,355.0,2.0,14388.0,html version of FL COVID Rep 05-23-2020,14.0,2020-05-23,5,646.0,1.0,21,Saturday
101,Alachua,0.0,14774,361.0,2.0,15150.0,html version of FL COVID Rep 05-24-2020,15.0,2020-05-24,6,755.0,6.0,21,Sunday
102,Alachua,0.0,15068,365.0,2.0,15448.0,html version of FL COVID Rep 05-25-2020,15.0,2020-05-25,0,294.0,4.0,22,Monday
103,Alachua,0.0,15548,370.0,2.0,15933.0,html version of FL COVID Rep 05-26-2020,15.0,2020-05-26,1,480.0,5.0,22,Tuesday
104,Alachua,0.0,15708,370.0,2.0,16093.0,html version of FL COVID Rep 05-27-2020,15.0,2020-05-27,2,160.0,0.0,22,Wednesday
105,Alachua,0.0,16687,372.0,2.0,17074.0,html version of FL COVID Rep 05-28-2020,15.0,2020-05-28,3,979.0,2.0,22,Thursday
106,Alachua,0.0,17644,378.0,2.0,18030.0,html version of FL COVID Rep 05-29-2020,8.0,2020-05-29,4,957.0,6.0,22,Friday
107,Alachua,0.0,18056,379.0,2.0,18443.0,html version of FL COVID Rep 05-30-2020,8.0,2020-05-30,5,412.0,1.0,22,Saturday
108,Alachua,0.0,19505,380.0,2.0,19893.0,html version of FL COVID Rep 05-31-2020,8.0,2020-05-31,6,1449.0,1.0,22,Sunday
109,Alachua,0.0,19712,382.0,2.0,20101.0,html version of FL COVID Rep 06-1-2020,7.0,2020-06-01,0,207.0,2.0,23,Monday
110,Alachua,0.0,19867,382.0,2.0,20256.0,html version of FL COVID Rep 06-2-2020,7.0,2020-06-02,1,155.0,0.0,23,Tuesday
111,Alachua,0.0,20691,383.0,2.0,21081.0,html version of FL COVID Rep 06-03-2020,7.0,2020-06-03,2,824.0,1.0,23,Wednesday
112,Alachua,0.0,22031,387.0,2.0,22425.0,html version of FL COVID Rep 06-04-2020,7.0,2020-06-04,3,1340.0,4.0,23,Thursday
113,Alachua,0.0,23000,392.0,2.0,23399.0,html version of FL COVID Rep 06-05-2020,7.0,2020-06-05,4,969.0,5.0,23,Friday
114,Alachua,0.0,24130,396.0,2.0,24533.0,html version of FL COVID Rep 06-06-2020,7.0,2020-06-06,5,1130.0,4.0,23,Saturday
115,Alachua,0.0,25710,399.0,2.0,26116.0,html version of FL COVID Rep 06-07-2020,7.0,2020-06-07,6,1580.0,3.0,23,Sunday
116,Alachua,0.0,25962,399.0,2.0,26368.0,html version of FL COVID Rep 06-08-2020,7.0,2020-06-08,0,252.0,0.0,24,Monday
117,Alachua,0.0,26266,404.0,2.0,26677.0,html version of FL COVID Rep 06-09-2020,7.0,2020-06-09,1,304.0,5.0,24,Tuesday
