COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE
Broward,226,153,47,11,426,html version of FL COVID Rep 03-16-2020,
Dade,174,90,25,9,289,html version of FL COVID Rep 03-16-2020,
Palm Beach,15,25,9,18,49,html version of FL COVID Rep 03-16-2020,
Collier,37,32,7,9,76,html version of FL COVID Rep 03-16-2020,
Volusia,11,15,7,21,33,html version of FL COVID Rep 03-16-2020,
Hillsborough,19,32,6,11,57,html version of FL COVID Rep 03-16-2020,
Lee,16,27,6,12,49,html version of FL COVID Rep 03-16-2020,
Duval,26,19,5,10,50,html version of FL COVID Rep 03-16-2020,
Manatee,5,17,5,19,27,html version of FL COVID Rep 03-16-2020,
Osceola,18,9,5,16,32,html version of FL COVID Rep 03-16-2020,
Alachua,38,34,4,5,76,html version of FL COVID Rep 03-16-2020,
Orange,6,15,4,16,25,html version of FL COVID Rep 03-16-2020,
Pinellas,65,33,4,4,102,html version of FL COVID Rep 03-16-2020,
Sarasota,26,117,4,3,147,html version of FL COVID Rep 03-16-2020,
Seminole,16,8,4,14,28,html version of FL COVID Rep 03-16-2020,
Clay,3,7,3,23,13,html version of FL COVID Rep 03-16-2020,
St. Johns,28,24,3,5,55,html version of FL COVID Rep 03-16-2020,
Okaloosa,9,18,2,7,29,html version of FL COVID Rep 03-16-2020,
Pasco,7,15,2,8,24,html version of FL COVID Rep 03-16-2020,
Charlotte,5,4,1,10,10,html version of FL COVID Rep 03-16-2020,
Citrus,3,1,1,20,5,html version of FL COVID Rep 03-16-2020,
Escambia,3,11,1,7,15,html version of FL COVID Rep 03-16-2020,
Gadsden,0,0,1,100,1,html version of FL COVID Rep 03-16-2020,
Lake,1,7,1,11,9,html version of FL COVID Rep 03-16-2020,
Leon,0,4,1,20,5,html version of FL COVID Rep 03-16-2020,
Nassau,3,4,1,13,8,html version of FL COVID Rep 03-16-2020,
Santa Rosa,4,8,1,8,13,html version of FL COVID Rep 03-16-2020,
Baker,2,1,0,0,3,html version of FL COVID Rep 03-16-2020,
Bay,1,3,0,0,4,html version of FL COVID Rep 03-16-2020,
Bradford,1,2,0,0,3,html version of FL COVID Rep 03-16-2020,
Brevard,2,5,0,0,7,html version of FL COVID Rep 03-16-2020,
Columbia,2,5,0,0,7,html version of FL COVID Rep 03-16-2020,
Desoto,0,4,0,0,4,html version of FL COVID Rep 03-16-2020,
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-16-2020,
Flagler,6,3,0,0,9,html version of FL COVID Rep 03-16-2020,
Franklin,1,0,0,0,1,html version of FL COVID Rep 03-16-2020,
Gulf,0,1,0,0,1,html version of FL COVID Rep 03-16-2020,
Hardee,0,1,0,0,1,html version of FL COVID Rep 03-16-2020,
Hendry,1,0,0,0,1,html version of FL COVID Rep 03-16-2020,
Hernando,3,0,0,0,3,html version of FL COVID Rep 03-16-2020,
Indian River,6,6,0,0,12,html version of FL COVID Rep 03-16-2020,
Jackson,2,1,0,0,3,html version of FL COVID Rep 03-16-2020,
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-16-2020,
Levy,0,1,0,0,1,html version of FL COVID Rep 03-16-2020,
Marion,12,8,0,0,20,html version of FL COVID Rep 03-16-2020,
Martin,2,0,0,0,2,html version of FL COVID Rep 03-16-2020,
Monroe,11,5,0,0,16,html version of FL COVID Rep 03-16-2020,
Okeechobee,3,3,0,0,6,html version of FL COVID Rep 03-16-2020,
Polk,8,15,0,0,23,html version of FL COVID Rep 03-16-2020,
Putnam,1,8,0,0,9,html version of FL COVID Rep 03-16-2020,
St. Lucie,3,2,0,0,5,html version of FL COVID Rep 03-16-2020,
Sumter,9,7,0,0,16,html version of FL COVID Rep 03-16-2020,
Suwannee,1,2,0,0,3,html version of FL COVID Rep 03-16-2020,
Union,1,1,0,0,2,html version of FL COVID Rep 03-16-2020,
Unknown,2,0,0,0,2,html version of FL COVID Rep 03-16-2020,
Walton,3,0,0,0,3,html version of FL COVID Rep 03-16-2020,
Washington,1,0,0,0,1,html version of FL COVID Rep 03-16-2020,
Total,848,816,160,9,1824,html version of FL COVID Rep 03-16-2020,
Broward,223,250,80,14,553,html version of FL COVID Rep 03-18-2020,
Dade,148,156,76,20,380,html version of FL COVID Rep 03-18-2020,
Palm Beach,19,28,19,29,66,html version of FL COVID Rep 03-18-2020,
Collier,53,37,13,13,103,html version of FL COVID Rep 03-18-2020,
Duval,24,40,13,17,77,html version of FL COVID Rep 03-18-2020,
Hillsborough,10,42,13,20,65,html version of FL COVID Rep 03-18-2020,
Lee,22,29,10,16,61,html version of FL COVID Rep 03-18-2020,
Pinellas,80,62,10,7,152,html version of FL COVID Rep 03-18-2020,
Orange,14,20,9,21,43,html version of FL COVID Rep 03-18-2020,
Volusia,7,23,9,23,39,html version of FL COVID Rep 03-18-2020,
Manatee,10,27,8,18,45,html version of FL COVID Rep 03-18-2020,
Osceola,38,14,8,13,60,html version of FL COVID Rep 03-18-2020,
Alachua,46,63,7,6,116,html version of FL COVID Rep 03-18-2020,
Seminole,20,14,7,17,41,html version of FL COVID Rep 03-18-2020,
Clay,4,7,4,27,15,html version of FL COVID Rep 03-18-2020,
Sarasota,46,129,4,2,179,html version of FL COVID Rep 03-18-2020,
St. Johns,23,53,4,5,80,html version of FL COVID Rep 03-18-2020,
Citrus,1,3,3,43,7,html version of FL COVID Rep 03-18-2020,
Okaloosa,6,22,3,10,31,html version of FL COVID Rep 03-18-2020,
Pasco,12,25,3,8,40,html version of FL COVID Rep 03-18-2020,
Lake,1,7,2,20,10,html version of FL COVID Rep 03-18-2020,
Brevard,1,6,1,13,8,html version of FL COVID Rep 03-18-2020,
Charlotte,4,6,1,9,11,html version of FL COVID Rep 03-18-2020,
Escambia,4,11,1,6,16,html version of FL COVID Rep 03-18-2020,
Gadsden,0,0,1,100,1,html version of FL COVID Rep 03-18-2020,
Leon,3,4,1,13,8,html version of FL COVID Rep 03-18-2020,
Nassau,1,7,1,11,9,html version of FL COVID Rep 03-18-2020,
Polk,12,21,1,3,34,html version of FL COVID Rep 03-18-2020,
Santa Rosa,5,10,1,6,16,html version of FL COVID Rep 03-18-2020,
Sumter,22,10,1,3,33,html version of FL COVID Rep 03-18-2020,
Baker,0,4,0,0,4,html version of FL COVID Rep 03-18-2020,
Bay,1,4,0,0,5,html version of FL COVID Rep 03-18-2020,
Bradford,0,4,0,0,4,html version of FL COVID Rep 03-18-2020,
Columbia,2,6,0,0,8,html version of FL COVID Rep 03-18-2020,
Desoto,0,4,0,0,4,html version of FL COVID Rep 03-18-2020,
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-18-2020,
Flagler,10,7,0,0,17,html version of FL COVID Rep 03-18-2020,
Franklin,2,0,0,0,2,html version of FL COVID Rep 03-18-2020,
Gilchrist,0,1,0,0,1,html version of FL COVID Rep 03-18-2020,
Gulf,0,1,0,0,1,html version of FL COVID Rep 03-18-2020,
Hardee,0,1,0,0,1,html version of FL COVID Rep 03-18-2020,
Hendry,1,1,0,0,2,html version of FL COVID Rep 03-18-2020,
Hernando,16,0,0,0,16,html version of FL COVID Rep 03-18-2020,
Indian River,4,10,0,0,14,html version of FL COVID Rep 03-18-2020,
Jackson,3,2,0,0,5,html version of FL COVID Rep 03-18-2020,
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-18-2020,
Levy,0,2,0,0,2,html version of FL COVID Rep 03-18-2020,
Marion,6,19,0,0,25,html version of FL COVID Rep 03-18-2020,
Martin,10,0,0,0,10,html version of FL COVID Rep 03-18-2020,
Monroe,21,5,0,0,26,html version of FL COVID Rep 03-18-2020,
Okeechobee,3,3,0,0,6,html version of FL COVID Rep 03-18-2020,
Putnam,0,12,0,0,12,html version of FL COVID Rep 03-18-2020,
St. Lucie,4,3,0,0,7,html version of FL COVID Rep 03-18-2020,
Suwannee,0,3,0,0,3,html version of FL COVID Rep 03-18-2020,
Union,0,3,0,0,3,html version of FL COVID Rep 03-18-2020,
Unknown,2,0,0,0,2,html version of FL COVID Rep 03-18-2020,
Walton,9,1,0,0,10,html version of FL COVID Rep 03-18-2020,
Washington,1,0,0,0,1,html version of FL COVID Rep 03-18-2020,
Total,954,1225,314,13,,html version of FL COVID Rep 03-18-2020,
Broward,259,287,96,15,642,html version of FL COVID Rep 03-19-2020,
Dade,123,204,86,21,413,html version of FL COVID Rep 03-19-2020,
Palm Beach,9,35,29,40,73,html version of FL COVID Rep 03-19-2020,
Hillsborough,9,46,19,26,74,html version of FL COVID Rep 03-19-2020,
Collier,41,57,18,16,116,html version of FL COVID Rep 03-19-2020,
Duval,26,55,15,16,96,html version of FL COVID Rep 03-19-2020,
Orange,13,23,15,29,51,html version of FL COVID Rep 03-19-2020,
