COUNTY	AWAITING_TESTING	NEGATIVE	POSITIVE	PERCENT_POSITIVE	TOTAL_TESTED	FILE_NAME	INCONCLUSIVE	DATE	NEW_NEGATIVES	NEW_CASES	DAY_OF_WEEK
Alachua	38.0	34	4.0	5.0	76.0	html version of FL COVID Rep 03-16-2020	0.0	2020-03-16			0
Alachua	46.0	63	7.0	6.0	116.0	html version of FL COVID Rep 03-18-2020	0.0	2020-03-18	29.0	3.0	2
Alachua	34.0	96	10.0	7.0	140.0	html version of FL COVID Rep 03-19-2020	0.0	2020-03-19	33.0	3.0	3
Alachua	50.0	273	15.0	288.0	338.0	html version of FL COVID Rep 03-20-2020	0.0	2020-03-20	177.0	5.0	4
Alachua	27.0	393	25.0	6.0	445.0	html version of FL COVID Rep 03-21-2020(PM)	0.0	2020-03-21	120.0	10.0	5
Alachua	25.0	452	29.0	6.0	506.0	html version of FL COVID Rep 03-22-2020	0.0	2020-03-22	59.0	4.0	6
Alachua	21.0	528	35.0	6.0	584.0	html version of FL COVID Rep 03-22-2020(PM)	0.0	2020-03-22	76.0	6.0	6
Alachua	27.0	547	37.0	6.0	611.0	html version of FL COVID Rep 03-23-2020	0.0	2020-03-23	19.0	2.0	0
Alachua	45.0	549	36.0	6.0	630.0	html version of FL COVID Rep 03-23-2020(PM)	0.0	2020-03-23	2.0	-1.0	0
Alachua	42.0	590	37.0	6.0	669.0	html version of FL COVID Rep 03-24-2020	0.0	2020-03-24	41.0	1.0	1
Alachua	42.0	590	37.0	6.0	669.0	html version of FL COVID Rep 03-24-2020(PM)	0.0	2020-03-24	0.0	0.0	1
Alachua	52.0	668	45.0	6.0	765.0	html version of FL COVID Rep 03-25-2020	0.0	2020-03-25	78.0	8.0	2
Alachua	53.0	749	46.0	6.0	848.0	html version of FL COVID Rep 03-25-2020(PM)	0.0	2020-03-25	81.0	1.0	2
Alachua	32.0	813	49.0	6.0	894.0	html version of FL COVID Rep 03-26-2020	0.0	2020-03-26	64.0	3.0	3
Alachua	30.0	871	53.0	6.0	954.0	html version of FL COVID Rep 03-26-2020(PM)	0.0	2020-03-26	58.0	4.0	3
Alachua	29.0	956	57.0	6.0	1042.0	html version of FL COVID Rep 03-27-2020	0.0	2020-03-27	85.0	4.0	4
Alachua	22.0	1008	60.0	6.0	1090.0	html version of FL COVID Rep 03-27-2020(PM)	0.0	2020-03-27	52.0	3.0	4
Alachua	21.0	1078	67.0	6.0	1166.0	html version of FL COVID Rep 03-28-2020	0.0	2020-03-28	70.0	7.0	5
Alachua	21.0	1111	68.0	6.0	1200.0	html version of FL COVID Rep 03-28-2020(PM)	0.0	2020-03-28	33.0	1.0	5
Alachua	21.0	1160	71.0	6.0	1252.0	html version of FL COVID Rep 03-29-2020	0.0	2020-03-29	49.0	3.0	6
Alachua	19.0	1177	72.0	6.0	1268.0	html version of FL COVID Rep 03-29-2020(PM)	0.0	2020-03-29	17.0	1.0	6
Alachua	15.0	1219	79.0	6.0	1313.0	html version of FL COVID Rep 03-30-2020	0.0	2020-03-30	42.0	7.0	0
Alachua	16.0	1230	80.0	6.0	1326.0	html version of FL COVID Rep 03-30-2020(PM)	0.0	2020-03-30	11.0	1.0	0
Alachua	16.0	1304	85.0	6.0	1405.0	html version of FL COVID Rep 03-31-2020	0.0	2020-03-31	74.0	5.0	1
Alachua	16.0	1340	87.0	6.0	1443.0	html version of FL COVID Rep 03-31-2020(PM)	0.0	2020-03-31	36.0	2.0	1
Alachua	16.0	1417	90.0	6.0	1523.0	html version of FL COVID Rep 04-01-2020	0.0	2020-04-01	77.0	3.0	2
Alachua	15.0	1544	93.0	6.0	1652.0	html version of FL COVID Rep 04-02-2020	0.0	2020-04-02	127.0	3.0	3
Alachua	15.0	1554	95.0	6.0	1664.0	html version of FL COVID Rep 04-02-2020(PM)	0.0	2020-04-02	10.0	2.0	3
Alachua	15.0	1768	108.0	6.0	1891.0	html version of FL COVID Rep 04-03-2020	0.0	2020-04-03	214.0	13.0	4
Alachua	15.0	1805	110.0	6.0	1930.0	html version of FL COVID Rep 04-03-2020(PM)	0.0	2020-04-03	37.0	2.0	4
Alachua	13.0	1937	115.0	6.0	2065.0	html version of FL COVID Rep 04-04-2020	0.0	2020-04-04	132.0	5.0	5
Alachua	14.0	1970	116.0	6.0	2100.0	html version of FL COVID Rep 04-04-2020(PM)	0.0	2020-04-04	33.0	1.0	5
Alachua	12.0	2083	122.0	6.0	2217.0	html version of FL COVID Rep 04-05-2020	0.0	2020-04-05	113.0	6.0	6
Alachua	12.0	2090	123.0	6.0	2225.0	html version of FL COVID Rep 04-05-2020(PM)	0.0	2020-04-05	7.0	1.0	6
Alachua	12.0	2194	131.0	6.0	2340.0	html version of FL COVID Rep 04-06-2020	3.0	2020-04-06	104.0	8.0	0
Alachua	12.0	2203	133.0	6.0	2351.0	html version of FL COVID Rep 04-06-2020(PM)	3.0	2020-04-06	9.0	2.0	0
Alachua	8.0	2513	141.0	5.0	2668.0	html version of FL COVID Rep 04-07-2020	6.0	2020-04-07	310.0	8.0	1
Alachua	8.0	2527	139.0	5.0	2681.0	html version of FL COVID Rep 04-07-2020(PM)	7.0	2020-04-07	14.0	-2.0	1
Alachua	8.0	2667	144.0	5.0	2827.0	html version of FL COVID Rep 04-08-2020	8.0	2020-04-08	140.0	5.0	2
Alachua	8.0	2666	144.0	5.0	2826.0	html version of FL COVID Rep 04-08-2020(PM)	8.0	2020-04-08	-1.0	0.0	2
Alachua	6.0	3020	150.0	5.0	3184.0	html version of FL COVID Rep 04-09-2020	8.0	2020-04-09	354.0	6.0	3
Alachua	7.0	3052	154.0	5.0	3221.0	html version of FL COVID Rep 04-09-2020(PM)	8.0	2020-04-09	32.0	4.0	3
Alachua	6.0	3260	167.0	5.0	3442.0	html version of FL COVID Rep 04-10-2020	9.0	2020-04-10	208.0	13.0	4
Alachua	6.0	3317	167.0	5.0	3499.0	html version of FL COVID Rep 04-10-2020(PM)	9.0	2020-04-10	57.0	0.0	4
Alachua	6.0	3450	174.0	5.0	3639.0	html version of FL COVID Rep 04-11-2020	9.0	2020-04-11	133.0	7.0	5
Alachua	6.0	3466	174.0	5.0	3655.0	html version of FL COVID Rep 04-11-2020(PM)	9.0	2020-04-11	16.0	0.0	5
Alachua	6.0	3609	177.0	5.0	3801.0	html version of FL COVID Rep 04-12-2020	9.0	2020-04-12	143.0	3.0	6
Alachua	6.0	3625	215.0	6.0	3855.0	html version of FL COVID Rep 04-12-2020(PM)	9.0	2020-04-12	16.0	38.0	6
Alachua	4.0	3809	183.0	5.0	4005.0	html version of FL COVID Rep 04-13-2020	9.0	2020-04-13	184.0	-32.0	0
Alachua	4.0	3801	187.0	5.0	4001.0	html version of FL COVID Rep 04-13-2020(PM)	9.0	2020-04-13	-8.0	4.0	0
Alachua	4.0	3895	192.0	5.0	4101.0	html version of FL COVID Rep 04-14-2020	10.0	2020-04-14	94.0	5.0	1
Alachua	4.0	3911	195.0	5.0	4121.0	html version of FL COVID Rep 04-14-2020(PM)	11.0	2020-04-14	16.0	3.0	1
Alachua	4.0	4008	196.0	5.0	4219.0	html version of FL COVID Rep 04-15-2020	11.0	2020-04-15	97.0	1.0	2
Alachua	4.0	4033	196.0	5.0	4243.0	html version of FL COVID Rep 04-15-2020(PM)	10.0	2020-04-15	25.0	0.0	2
Alachua	4.0	4355	199.0	4.0	4568.0	html version of FL COVID Rep 04-16-2020	10.0	2020-04-16	322.0	3.0	3
Alachua	4.0	4392	200.0	4.0	4606.0	html version of FL COVID Rep 04-16-2020(PM)	10.0	2020-04-16	37.0	1.0	3
Alachua	4.0	4542	202.0	4.0	4757.0	html version of FL COVID Rep 04-17-2020	9.0	2020-04-17	150.0	2.0	4
Alachua	3.0	4577	201.0	4.0	4790.0	html version of FL COVID Rep 04-17-2020(PM)	9.0	2020-04-17	35.0	-1.0	4
Alachua	3.0	4652	205.0	4.0	4868.0	html version of FL COVID Rep 04-18-2020	8.0	2020-04-18	75.0	4.0	5
Alachua	3.0	4689	205.0	4.0	4906.0	html version of FL COVID Rep 04-18-2020(PM)	9.0	2020-04-18	37.0	0.0	5
Alachua	3.0	4824	209.0	4.0	5044.0	html version of FL COVID Rep 04-19-2020	8.0	2020-04-19	135.0	4.0	6
Alachua	3.0	4843	210.0	4.0	5064.0	html version of FL COVID Rep 04-19-2020(PM)	8.0	2020-04-19	19.0	1.0	6
Alachua	3.0	4988	215.0	4.0	5214.0	html version of FL COVID Rep 04-20-2020	8.0	2020-04-20	145.0	5.0	0
Alachua	3.0	5022	218.0	4.0	5251.0	html version of FL COVID Rep 04-20-2020(PM)	8.0	2020-04-20	34.0	3.0	0
Alachua	3.0	5136	223.0	4.0	5370.0	html version of FL COVID Rep 04-21-2020	8.0	2020-04-21	114.0	5.0	1
Alachua	4.0	5163	224.0	4.0	5399.0	html version of FL COVID Rep 04-21-2020(PM)	8.0	2020-04-21	27.0	1.0	1
Alachua	1.0	5260	227.0	4.0	5496.0	html version of FL COVID Rep 04-22-2020	8.0	2020-04-22	97.0	3.0	2
Alachua	0.0	5271	226.0	4.0	5505.0	html version of FL COVID Rep 04-22-2020(PM)	8.0	2020-04-22	11.0	-1.0	2
Alachua	0.0	5356	229.0	4.0	5593.0	html version of FL COVID Rep 04-23-2020	8.0	2020-04-23	85.0	3.0	3
Alachua	0.0	5370	231.0	4.0	5609.0	html version of FL COVID Rep 04-23-2020(PM)	8.0	2020-04-23	14.0	2.0	3
Alachua	0.0	5775	240.0	4.0	6022.0	html version of FL COVID Rep 04-24-2020	7.0	2020-04-24	405.0	9.0	4
Alachua	0.0	5775	244.0	4.0	6026.0	html version of FL COVID Rep 04-24-2020(PM)	7.0	2020-04-24	0.0	4.0	4
Alachua	0.0	5958	245.0	4.0	6210.0	html version of FL COVID Rep 04-25-2020	7.0	2020-04-25	183.0	1.0	5
Alachua	0.0	6141	251.0	4.0	6399.0	html version of FL COVID Rep 04-26-2020	7.0	2020-04-26	183.0	6.0	6
Alachua	0.0	6271	254.0	4.0	6532.0	html version of FL COVID Rep 04-27-2020	7.0	2020-04-27	130.0	3.0	0
Alachua	0.0	6369	255.0	4.0	6631.0	html version of FL COVID Rep 04-28-2020	7.0	2020-04-28	98.0	1.0	1
Alachua	0.0	6471	262.0	4.0	6740.0	html version of FL COVID Rep 04-29-2020	7.0	2020-04-29	102.0	7.0	2
Alachua	0.0	6627	267.0	4.0	6901.0	html version of FL COVID Rep 04-30-2020	7.0	2020-04-30	156.0	5.0	3
Alachua	0.0	6785	273.0	4.0	7065.0	html version of FL COVID Rep 05-01-2020	7.0	2020-05-01	158.0	6.0	4
Alachua	0.0	6892	275.0	4.0	7174.0	html version of FL COVID Rep 05-02-2020	7.0	2020-05-02	107.0	2.0	5
Alachua	0.0	7056	286.0	4.0	7349.0	html version of FL COVID Rep 05-03-2020	7.0	2020-05-03	164.0	11.0	6
Alachua	0.0	7129	289.0	4.0	7425.0	html version of FL COVID Rep 05-04-2020	7.0	2020-05-04	73.0	3.0	0
Alachua	0.0	7306	289.0	4.0	7602.0	html version of FL COVID Rep 05-05-2020	7.0	2020-05-05	177.0	0.0	1
Alachua	0.0	7487	295.0	4.0	7789.0	html version of FL COVID Rep 05-06-2020	7.0	2020-05-06	181.0	6.0	2
Alachua	0.0	7550	300.0	4.0	7858.0	html version of FL COVID Rep 05-07-2020	8.0	2020-05-07	63.0	5.0	3
Alachua	0.0	7688	306.0	4.0	8002.0	html version of FL COVID Rep 05-08-2020	8.0	2020-05-08	138.0	6.0	4
Alachua	0.0	7897	308.0	4.0	8213.0	html version of FL COVID Rep 05-09-2020	8.0	2020-05-09	209.0	2.0	5
Alachua	0.0	8124	312.0	4.0	8444.0	html version of FL COVID Rep 05-10-2020	8.0	2020-05-10	227.0	4.0	6
Alachua	0.0	8753	320.0	4.0	9080.0	html version of FL COVID Rep 05-11-2020	7.0	2020-05-11	629.0	8.0	0
Alachua	0.0	9159	324.0	3.0	9490.0	html version of FL COVID Rep 05-12-2020	7.0	2020-05-12	406.0	4.0	1
Alachua	0.0	9427	326.0	3.0	9760.0	html version of FL COVID Rep 05-13-2020	7.0	2020-05-13	268.0	2.0	2
Alachua	0.0	9630	330.0	3.0	9967.0	html version of FL COVID Rep 05-14-2020	7.0	2020-05-14	203.0	4.0	3
Alachua	0.0	9708	330.0	3.0	10045.0	html version of FL COVID Rep 05-15-2020	7.0	2020-05-15	78.0	0.0	4
Alachua	0.0	9874	329.0	3.0	10210.0	html version of FL COVID Rep 05-16-2020	7.0	2020-05-16	166.0	-1.0	5
Alachua	0.0	10417	332.0	3.0	10763.0	html version of FL COVID Rep 05-17-2020	14.0	2020-05-17	543.0	3.0	6
Alachua	0.0	10798	337.0	3.0	11149.0	html version of FL COVID Rep 05-18-2020	14.0	2020-05-18	381.0	5.0	0
Alachua	0.0	11276	339.0	3.0	11629.0	html version of FL COVID Rep 05-19-2020	14.0	2020-05-19	478.0	2.0	1
Alachua	0.0	12506	344.0	3.0	12864.0	html version of FL COVID Rep 05-20-2020	14.0	2020-05-20	1230.0	5.0	2
Alachua	0.0	13022	346.0	3.0	13382.0	html version of FL COVID Rep 05-21-2020	14.0	2020-05-21	516.0	2.0	3
Alachua	0.0	13373	354.0	3.0	13741.0	html version of FL COVID Rep 05-22-2020	14.0	2020-05-22	351.0	8.0	4
Alachua	0.0	14019	355.0	2.0	14388.0	html version of FL COVID Rep 05-23-2020	14.0	2020-05-23	646.0	1.0	5
