"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US12001","Alachua County, Florida","97048","1341","50396","1059","36926","1124","46652","1122","12.5","0.8","4.4","0.6","1.2","0.4","21.6","1.5","5.0","0.5","2.8","0.5","1.2","0.4","7.3","0.9","11.3","0.8","7.2","0.9","4.3","0.8","16.1","1.4","9.5","0.7","7.4","0.9","5.1","0.9","12.3","1.2","12.5","0.8","11.4","0.9","9.7","1.0","13.7","1.3","17.4","1.0","18.6","1.3","19.1","1.6","15.4","1.3","10.7","0.7","14.8","1.1","17.5","1.3","6.1","0.9","11.3","0.6","16.9","1.0","21.0","1.4","4.8","0.8","4.8","0.5","7.9","0.9","9.9","1.1","1.3","0.4","5.2","0.5","8.6","0.8","11.0","1.1","1.3","0.3","49078","1416","72134","1963","87557","2516","27707","1625","70309","1747","95391","2511","112154","3587","41993","2062","34.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.5","(X)"
"0500000US12003","Baker County, Florida","8625","380","6600","424","5021","394","2025","356","7.4","2.0","5.0","2.4","0.7","0.9","17.3","6.4","2.7","1.4","2.0","1.5","0.6","0.6","4.9","3.0","10.9","2.8","7.6","2.8","7.5","3.6","21.3","6.8","9.6","2.3","9.5","3.1","5.8","2.4","13.5","5.6","13.4","3.4","13.1","3.7","10.3","3.5","14.8","6.8","20.9","3.4","21.7","3.7","24.9","4.4","13.5","6.4","13.1","2.9","14.2","3.3","16.6","3.9","7.8","4.5","14.1","2.6","17.4","3.2","22.0","4.1","4.6","4.6","4.3","1.9","5.2","2.3","6.3","3.0","1.7","1.9","3.7","1.4","4.2","1.8","5.2","2.3","0.6","1.0","61769","5722","70500","6699","75363","6997","27065","6492","73897","5601","82166","7029","N","N","41767","7871","41.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.4","(X)"
"0500000US12005","Bay County, Florida","70199","1086","45243","915","33096","935","24956","987","6.9","0.6","4.5","0.7","1.9","0.5","12.0","1.3","5.5","0.6","2.8","0.6","1.5","0.5","10.7","1.5","9.9","0.7","7.1","0.7","4.4","0.8","15.8","1.5","10.4","0.7","8.6","0.9","6.3","0.9","15.1","1.4","15.6","1.0","14.5","1.1","12.8","1.2","17.2","1.6","18.8","0.8","20.2","1.2","21.7","1.3","15.3","1.5","12.9","0.9","15.9","1.2","17.8","1.4","6.6","1.2","12.6","0.9","16.3","1.2","20.6","1.6","5.5","1.1","4.1","0.5","5.5","0.8","7.3","1.0","1.1","0.4","3.3","0.5","4.6","0.7","5.7","0.9","0.8","0.3","51829","1358","64676","1725","77287","2486","31952","1416","69260","1699","81816","2255","94191","2556","43809","2175","41.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.8","(X)"
"0500000US12007","Bradford County, Florida","8993","387","5921","469","4096","421","3072","449","11.9","3.0","8.5","2.7","2.6","1.5","23.4","6.6","6.9","1.9","3.1","1.9","3.1","2.5","11.4","4.1","11.0","2.3","8.6","2.8","5.5","2.4","15.1","4.6","9.3","2.1","8.2","2.6","5.9","2.7","11.2","4.6","13.3","2.7","14.4","3.4","13.9","4.1","12.0","4.8","21.4","3.6","26.9","4.3","31.8","5.2","12.3","5.4","11.7","2.4","13.2","2.8","15.6","3.6","7.2","3.6","10.5","2.3","11.6","3.1","14.1","4.1","6.7","4.0","3.0","1.3","4.2","2.0","5.7","2.8","0.1","0.1","1.1","0.8","1.2","1.1","1.8","1.6","0.7","1.1","46197","5603","55216","3795","64474","2715","25125","6338","57048","3836","65276","5418","N","N","37493","5599","43.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.0","(X)"
"0500000US12009","Brevard County, Florida","228888","1973","145729","1722","111018","1771","83159","1833","5.6","0.4","3.3","0.4","1.5","0.3","10.3","0.7","4.9","0.4","2.7","0.3","1.4","0.3","9.5","0.9","10.3","0.5","7.5","0.6","5.0","0.6","16.6","0.9","10.5","0.4","8.2","0.5","6.4","0.5","14.2","0.8","14.4","0.5","13.7","0.7","12.7","0.8","15.6","0.9","19.5","0.7","20.2","0.8","20.4","0.9","17.7","1.1","12.3","0.5","14.8","0.7","16.8","0.8","7.4","0.7","13.2","0.5","16.9","0.6","20.3","0.8","5.6","0.6","4.8","0.3","6.5","0.5","8.0","0.5","1.6","0.3","4.5","0.3","6.2","0.4","7.5","0.5","1.5","0.3","54359","842","67433","1338","78273","1437","34447","997","73762","1050","86996","1523","98065","1783","47938","1175","38.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.0","(X)"
"0500000US12011","Broward County, Florida","682088","3587","436468","3786","295820","3578","245620","3017","6.5","0.2","4.1","0.2","2.1","0.2","11.7","0.5","4.4","0.2","2.6","0.2","1.4","0.2","8.1","0.5","9.8","0.2","7.4","0.3","4.9","0.3","14.8","0.4","9.9","0.3","8.8","0.4","7.0","0.4","12.6","0.5","13.5","0.4","12.8","0.4","10.7","0.4","14.8","0.7","18.0","0.4","18.4","0.5","17.3","0.5","16.9","0.7","12.1","0.3","13.6","0.3","15.1","0.4","8.7","0.5","13.7","0.3","16.5","0.5","20.3","0.6","7.3","0.5","5.6","0.2","7.1","0.3","9.5","0.4","2.5","0.2","6.6","0.2","8.6","0.3","11.7","0.4","2.8","0.2","57333","578","68715","940","84972","1283","37415","671","82204","722","95230","1090","113207","1436","55129","884","34.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.0","(X)"
"0500000US12013","Calhoun County, Florida","4556","233","2873","220","2110","225","1683","240","8.2","2.8","2.0","1.4","0.9","0.8","18.7","6.6","8.2","2.4","2.2","1.6","0.7","0.8","18.8","5.5","15.4","3.6","13.5","4.1","10.2","4.1","21.0","6.6","13.3","3.2","12.4","3.8","9.1","3.8","14.6","5.2","16.5","3.8","17.2","4.4","15.7","5.5","17.1","6.6","15.2","3.9","18.0","4.7","19.0","6.0","7.1","4.6","12.0","2.9","17.3","4.2","22.4","5.5","1.8","1.4","8.7","3.0","13.9","4.7","17.7","6.2","0.0","2.3","1.6","1.5","2.6","2.4","3.6","3.3","0.0","2.3","0.9","0.6","1.0","0.8","0.9","0.9","0.9","1.0","38609","2264","52088","8472","65476","8031","20486","5312","53151","6586","66846","9679","N","N","28107","5035","36.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.7","(X)"
"0500000US12015","Charlotte County, Florida","76150","1016","48430","1160","40865","1114","27720","1128","5.2","0.6","3.1","0.6","2.5","0.5","9.7","1.3","5.0","0.6","2.2","0.5","1.4","0.4","9.9","1.6","12.3","0.9","7.5","1.0","5.8","0.8","21.8","1.9","11.6","0.7","9.6","0.8","8.6","0.9","15.2","1.5","16.7","0.9","17.3","1.0","17.2","1.1","15.5","1.5","20.3","1.0","23.2","1.4","23.9","1.5","14.6","1.4","11.7","0.8","14.2","1.1","15.3","1.2","6.8","1.0","10.3","0.7","14.1","1.2","15.5","1.3","3.5","0.7","3.3","0.4","4.4","0.6","5.0","0.7","1.2","0.4","3.4","0.5","4.3","0.7","4.8","0.8","1.7","0.5","49225","979","59695","1277","63579","1503","30761","1361","66950","1957","79144","2699","84272","3158","43633","2278","34.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.5","(X)"
"0500000US12017","Citrus County, Florida","62762","1091","38892","934","30513","924","23870","981","7.9","0.9","4.6","0.8","2.4","0.7","14.8","1.7","6.2","0.7","3.4","0.8","1.5","0.5","11.0","1.6","14.5","1.1","9.0","1.1","7.9","1.3","23.4","2.2","13.7","1.0","11.8","1.2","10.0","1.2","16.7","1.8","17.7","1.0","19.4","1.4","19.7","1.6","15.2","1.5","18.6","1.3","23.5","1.7","25.9","2.0","10.8","1.6","8.9","0.9","11.5","1.3","12.9","1.5","3.8","0.7","8.2","0.7","10.9","1.1","12.8","1.3","3.4","0.9","2.3","0.5","3.2","0.7","3.6","0.7","0.5","0.4","2.0","0.4","2.8","0.6","3.4","0.8","0.4","0.2","41424","1281","51464","1537","57287","1991","25385","1050","56165","1885","68123","2984","N","N","34997","2212","34.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.0","(X)"
