COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,len_file_name,FILE_NAME_LEN,LAST_POS_COUNT,LAST_COUNTY,LAST_NEG_COUNT,NEW_NEGATIVES,NEW_CASES
Broward,226.0,153.0,47.0,11.0,426,html version of FL COVID Rep 03-16-2020,0.0,2020-03-16,0,,39,4060.0,Brevard,61818.0,,
Broward,223.0,250.0,80.0,14.0,553,html version of FL COVID Rep 03-18-2020,0.0,2020-03-18,2,,39,47.0,Broward,153.0,97.0,33.0
Broward,259.0,287.0,96.0,15.0,642,html version of FL COVID Rep 03-19-2020,0.0,2020-03-19,3,,39,80.0,Broward,250.0,37.0,16.0
Broward,266.0,1036.0,128.0,11.0,1164,html version of FL COVID Rep 03-20-2020,0.0,2020-03-20,4,,39,96.0,Broward,287.0,749.0,32.0
Broward,262.0,1313.0,164.0,11.0,1477,html version of FL COVID Rep 03-21-2020(PM),0.0,2020-03-21,5,,43,128.0,Broward,1036.0,277.0,36.0
Broward,208.0,1395.0,180.0,11.0,1575,html version of FL COVID Rep 03-22-2020,0.0,2020-03-22,6,,39,164.0,Broward,1313.0,82.0,16.0
Broward,207.0,1664.0,217.0,12.0,1881,html version of FL COVID Rep 03-22-2020(PM),0.0,2020-03-22,6,,43,180.0,Broward,1395.0,269.0,37.0
Broward,185.0,1876.0,258.0,12.0,2134,html version of FL COVID Rep 03-23-2020,0.0,2020-03-23,0,,39,217.0,Broward,1664.0,212.0,41.0
Broward,207.0,1909.0,263.0,12.0,2172,html version of FL COVID Rep 03-23-2020(PM),0.0,2020-03-23,0,,43,258.0,Broward,1876.0,33.0,5.0
Broward,182.0,2121.0,311.0,13.0,2432,html version of FL COVID Rep 03-24-2020,0.0,2020-03-24,1,,39,263.0,Broward,1909.0,212.0,48.0
Broward,208.0,2147.0,312.0,13.0,2459,html version of FL COVID Rep 03-24-2020(PM),0.0,2020-03-24,1,,43,311.0,Broward,2121.0,26.0,1.0
Broward,211.0,2375.0,355.0,13.0,2730,html version of FL COVID Rep 03-25-2020,0.0,2020-03-25,2,,39,312.0,Broward,2147.0,228.0,43.0
Broward,242.0,3560.0,412.0,10.0,3972,html version of FL COVID Rep 03-25-2020(PM),0.0,2020-03-25,2,,43,355.0,Broward,2375.0,1185.0,57.0
Broward,210.0,4388.0,504.0,10.0,4892,html version of FL COVID Rep 03-26-2020,0.0,2020-03-26,3,,39,412.0,Broward,3560.0,828.0,92.0
Broward,330.0,4419.0,505.0,10.0,4924,html version of FL COVID Rep 03-26-2020(PM),0.0,2020-03-26,3,,43,504.0,Broward,4388.0,31.0,1.0
Broward,288.0,5306.0,614.0,10.0,5920,html version of FL COVID Rep 03-27-2020,0.0,2020-03-27,4,,39,505.0,Broward,4419.0,887.0,109.0
Broward,229.0,5463.0,631.0,10.0,6094,html version of FL COVID Rep 03-27-2020(PM),0.0,2020-03-27,4,,43,614.0,Broward,5306.0,157.0,17.0
Broward,151.0,6902.0,814.0,11.0,7717,html version of FL COVID Rep 03-28-2020,0.0,2020-03-28,5,,39,631.0,Broward,5463.0,1439.0,183.0
Broward,151.0,7054.0,820.0,10.0,7875,html version of FL COVID Rep 03-28-2020(PM),0.0,2020-03-28,5,,43,814.0,Broward,6902.0,152.0,6.0
Broward,153.0,7283.0,838.0,10.0,8122,html version of FL COVID Rep 03-29-2020,0.0,2020-03-29,6,,39,820.0,Broward,7054.0,229.0,18.0
Broward,118.0,8836.0,1012.0,10.0,9849,html version of FL COVID Rep 03-29-2020(PM),0.0,2020-03-29,6,,43,838.0,Broward,7283.0,1553.0,174.0
Broward,94.0,9784.0,1152.0,11.0,10938,html version of FL COVID Rep 03-30-2020,0.0,2020-03-30,0,,39,1012.0,Broward,8836.0,948.0,140.0
Broward,101.0,9836.0,1137.0,10.0,10975,html version of FL COVID Rep 03-30-2020(PM),0.0,2020-03-30,0,,43,1152.0,Broward,9784.0,52.0,-15.0
Broward,99.0,10411.0,1209.0,10.0,11622,html version of FL COVID Rep 03-31-2020,0.0,2020-03-31,1,,39,1137.0,Broward,9836.0,575.0,72.0
Broward,102.0,10508.0,1219.0,10.0,11729,html version of FL COVID Rep 03-31-2020(PM),0.0,2020-03-31,1,,43,1209.0,Broward,10411.0,97.0,10.0
Broward,100.0,10701.0,1232.0,10.0,11935,html version of FL COVID Rep 04-01-2020,0.0,2020-04-01,2,,39,1219.0,Broward,10508.0,193.0,13.0
Broward,73.0,11577.0,1346.0,10.0,12928,html version of FL COVID Rep 04-02-2020,0.0,2020-04-02,3,,39,1232.0,Broward,10701.0,876.0,114.0
Broward,73.0,11636.0,1481.0,11.0,13123,html version of FL COVID Rep 04-02-2020(PM),0.0,2020-04-02,3,,43,1346.0,Broward,11577.0,59.0,135.0
Broward,73.0,12907.0,1565.0,11.0,14479,html version of FL COVID Rep 04-03-2020,0.0,2020-04-03,4,,39,1481.0,Broward,11636.0,1271.0,84.0
Broward,73.0,13039.0,1598.0,11.0,14644,html version of FL COVID Rep 04-03-2020(PM),0.0,2020-04-03,4,,43,1565.0,Broward,12907.0,132.0,33.0
Broward,67.0,13935.0,1792.0,11.0,15735,html version of FL COVID Rep 04-04-2020,0.0,2020-04-04,5,,39,1598.0,Broward,13039.0,896.0,194.0
Broward,80.0,14348.0,1765.0,11.0,16122,html version of FL COVID Rep 04-04-2020(PM),0.0,2020-04-04,5,,43,1792.0,Broward,13935.0,413.0,-27.0
Broward,69.0,15001.0,1871.0,11.0,16881,html version of FL COVID Rep 04-05-2020,0.0,2020-04-05,6,,39,1765.0,Broward,14348.0,653.0,106.0
Broward,67.0,15139.0,1886.0,11.0,17034,html version of FL COVID Rep 04-05-2020(PM),0.0,2020-04-05,6,,43,1871.0,Broward,15001.0,138.0,15.0
Broward,60.0,16168.0,2067.0,11.0,18245,html version of FL COVID Rep 04-06-2020,10.0,2020-04-06,0,,39,1886.0,Broward,15139.0,1029.0,181.0
Broward,62.0,16211.0,2075.0,11.0,18298,html version of FL COVID Rep 04-06-2020(PM),12.0,2020-04-06,0,,43,2067.0,Broward,16168.0,43.0,8.0
Broward,60.0,17208.0,2213.0,11.0,19433,html version of FL COVID Rep 04-07-2020,12.0,2020-04-07,1,,39,2075.0,Broward,16211.0,997.0,138.0
Broward,63.0,17220.0,2230.0,11.0,19462,html version of FL COVID Rep 04-07-2020(PM),12.0,2020-04-07,1,,43,2213.0,Broward,17208.0,12.0,17.0
Broward,54.0,17406.0,2358.0,12.0,19778,html version of FL COVID Rep 04-08-2020,14.0,2020-04-08,2,,39,2230.0,Broward,17220.0,186.0,128.0
Broward,60.0,17505.0,2365.0,12.0,19884,html version of FL COVID Rep 04-08-2020(PM),14.0,2020-04-08,2,,43,2358.0,Broward,17406.0,99.0,7.0
Broward,61.0,18260.0,2454.0,12.0,20732,html version of FL COVID Rep 04-09-2020,18.0,2020-04-09,3,,39,2365.0,Broward,17505.0,755.0,89.0
Broward,62.0,18668.0,2480.0,12.0,21165,html version of FL COVID Rep 04-09-2020(PM),17.0,2020-04-09,3,,43,2454.0,Broward,18260.0,408.0,26.0
Broward,62.0,19140.0,2645.0,12.0,21802,html version of FL COVID Rep 04-10-2020,17.0,2020-04-10,4,,39,2480.0,Broward,18668.0,472.0,165.0
Broward,66.0,19612.0,2679.0,12.0,22314,html version of FL COVID Rep 04-10-2020(PM),23.0,2020-04-10,4,,43,2645.0,Broward,19140.0,472.0,34.0
Broward,72.0,20432.0,2806.0,12.0,23262,html version of FL COVID Rep 04-11-2020,24.0,2020-04-11,5,,39,2679.0,Broward,19612.0,820.0,127.0
Broward,71.0,20703.0,2844.0,12.0,23571,html version of FL COVID Rep 04-11-2020(PM),24.0,2020-04-11,5,,43,2806.0,Broward,20432.0,271.0,38.0
Broward,69.0,20900.0,2865.0,12.0,23790,html version of FL COVID Rep 04-12-2020,25.0,2020-04-12,6,,39,2844.0,Broward,20703.0,197.0,21.0
Broward,64.0,21413.0,2945.0,12.0,24387,html version of FL COVID Rep 04-12-2020(PM),29.0,2020-04-12,6,,43,2865.0,Broward,20900.0,513.0,80.0
Broward,57.0,22675.0,3105.0,12.0,25809,html version of FL COVID Rep 04-13-2020,29.0,2020-04-13,0,,39,2945.0,Broward,21413.0,1262.0,160.0
Broward,58.0,23055.0,3177.0,12.0,26264,html version of FL COVID Rep 04-13-2020(PM),32.0,2020-04-13,0,,43,3105.0,Broward,22675.0,380.0,72.0
Broward,58.0,23687.0,3243.0,12.0,26963,html version of FL COVID Rep 04-14-2020,33.0,2020-04-14,1,,39,3177.0,Broward,23055.0,632.0,66.0
Broward,57.0,23742.0,3261.0,12.0,27037,html version of FL COVID Rep 04-14-2020(PM),34.0,2020-04-14,1,,43,3243.0,Broward,23687.0,55.0,18.0
Broward,57.0,24465.0,3334.0,12.0,27833,html version of FL COVID Rep 04-15-2020,34.0,2020-04-15,2,,39,3261.0,Broward,23742.0,723.0,73.0
Broward,57.0,24632.0,3363.0,12.0,28013,html version of FL COVID Rep 04-15-2020(PM),18.0,2020-04-15,2,,43,3334.0,Broward,24465.0,167.0,29.0
Broward,61.0,25187.0,3459.0,12.0,28665,html version of FL COVID Rep 04-16-2020,19.0,2020-04-16,3,,39,3363.0,Broward,24632.0,555.0,96.0
Broward,60.0,25954.0,3466.0,12.0,29439,html version of FL COVID Rep 04-16-2020(PM),19.0,2020-04-16,3,,43,3459.0,Broward,25187.0,767.0,7.0
Broward,66.0,27558.0,3660.0,12.0,31251,html version of FL COVID Rep 04-17-2020,33.0,2020-04-17,4,,39,3466.0,Broward,25954.0,1604.0,194.0
Broward,66.0,27682.0,3688.0,12.0,31405,html version of FL COVID Rep 04-17-2020(PM),35.0,2020-04-17,4,,43,3660.0,Broward,27558.0,124.0,28.0
Broward,59.0,28258.0,3833.0,12.0,32125,html version of FL COVID Rep 04-18-2020,34.0,2020-04-18,5,,39,3688.0,Broward,27682.0,576.0,145.0
Broward,58.0,28725.0,3838.0,12.0,32601,html version of FL COVID Rep 04-18-2020(PM),38.0,2020-04-18,5,,43,3833.0,Broward,28258.0,467.0,5.0
Broward,56.0,29367.0,3960.0,12.0,33365,html version of FL COVID Rep 04-19-2020,38.0,2020-04-19,6,,39,3838.0,Broward,28725.0,642.0,122.0
Broward,56.0,29806.0,3971.0,12.0,33813,html version of FL COVID Rep 04-19-2020(PM),36.0,2020-04-19,6,,43,3960.0,Broward,29367.0,439.0,11.0
Broward,55.0,30521.0,4038.0,12.0,34599,html version of FL COVID Rep 04-20-2020,40.0,2020-04-20,0,,39,3971.0,Broward,29806.0,715.0,67.0
Broward,58.0,30784.0,4078.0,12.0,34901,html version of FL COVID Rep 04-20-2020(PM),39.0,2020-04-20,0,,43,4038.0,Broward,30521.0,263.0,40.0
Broward,57.0,31583.0,4149.0,12.0,35770,html version of FL COVID Rep 04-21-2020,38.0,2020-04-21,1,,39,4078.0,Broward,30784.0,799.0,71.0
Broward,61.0,31783.0,4168.0,12.0,35992,html version of FL COVID Rep 04-21-2020(PM),41.0,2020-04-21,1,,43,4149.0,Broward,31583.0,200.0,19.0
Broward,53.0,32427.0,4228.0,12.0,36690,html version of FL COVID Rep 04-22-2020,35.0,2020-04-22,2,,39,4168.0,Broward,31783.0,644.0,60.0
Broward,49.0,32621.0,4254.0,12.0,36910,html version of FL COVID Rep 04-22-2020(PM),35.0,2020-04-22,2,,43,4228.0,Broward,32427.0,194.0,26.0
Broward,47.0,33101.0,4315.0,12.0,37450,html version of FL COVID Rep 04-23-2020,34.0,2020-04-23,3,,39,4254.0,Broward,32621.0,480.0,61.0
Broward,46.0,33931.0,4431.0,12.0,38395,html version of FL COVID Rep 04-23-2020(PM),33.0,2020-04-23,3,,43,4315.0,Broward,33101.0,830.0,116.0
Broward,47.0,35790.0,4570.0,11.0,40396,html version of FL COVID Rep 04-24-2020,36.0,2020-04-24,4,,39,4431.0,Broward,33931.0,1859.0,139.0
Broward,45.0,35800.0,4591.0,11.0,40427,html version of FL COVID Rep 04-24-2020(PM),36.0,2020-04-24,4,,43,4570.0,Broward,35790.0,10.0,21.0
Broward,40.0,37454.0,4659.0,11.0,42147,html version of FL COVID Rep 04-25-2020,34.0,2020-04-25,5,,39,4591.0,Broward,35800.0,1654.0,68.0
Broward,36.0,38312.0,4729.0,11.0,43074,html version of FL COVID Rep 04-26-2020,33.0,2020-04-26,6,,39,4659.0,Broward,37454.0,858.0,70.0
Broward,32.0,39175.0,4794.0,11.0,43999,html version of FL COVID Rep 04-27-2020,30.0,2020-04-27,0,,39,4729.0,Broward,38312.0,863.0,65.0
Broward,29.0,39826.0,4847.0,11.0,44703,html version of FL COVID Rep 04-28-2020,30.0,2020-04-28,1,,39,4794.0,Broward,39175.0,651.0,53.0
Broward,32.0,40337.0,4898.0,11.0,45265,html version of FL COVID Rep 04-29-2020,30.0,2020-04-29,2,,39,4847.0,Broward,39826.0,511.0,51.0
Broward,31.0,40972.0,4953.0,11.0,45955,html version of FL COVID Rep 04-30-2020,30.0,2020-04-30,3,,39,4898.0,Broward,40337.0,635.0,55.0
Broward,32.0,44306.0,5144.0,10.0,49485,html version of FL COVID Rep 05-01-2020,35.0,2020-05-01,4,,39,4953.0,Broward,40972.0,3334.0,191.0
Broward,30.0,45788.0,5257.0,10.0,51080,html version of FL COVID Rep 05-02-2020,35.0,2020-05-02,5,,39,5144.0,Broward,44306.0,1482.0,113.0
Broward,34.0,46697.0,5312.0,10.0,52044,html version of FL COVID Rep 05-03-2020,35.0,2020-05-03,6,,39,5257.0,Broward,45788.0,909.0,55.0
Broward,34.0,47300.0,5383.0,10.0,52719,html version of FL COVID Rep 05-04-2020,36.0,2020-05-04,0,,39,5312.0,Broward,46697.0,603.0,71.0
Broward,48.0,49395.0,5492.0,10.0,54924,html version of FL COVID Rep 05-05-2020,37.0,2020-05-05,1,,39,5383.0,Broward,47300.0,2095.0,109.0
Broward,34.0,50653.0,5553.0,10.0,56244,html version of FL COVID Rep 05-06-2020,38.0,2020-05-06,2,,39,5492.0,Broward,49395.0,1258.0,61.0
Broward,23.0,52101.0,5677.0,10.0,57820,html version of FL COVID Rep 05-07-2020,42.0,2020-05-07,3,,39,5553.0,Broward,50653.0,1448.0,124.0
Broward,23.0,56793.0,5688.0,9.0,62542,html version of FL COVID Rep 05-08-2020,61.0,2020-05-08,4,,39,5677.0,Broward,52101.0,4692.0,11.0
Broward,23.0,58085.0,5780.0,9.0,63925,html version of FL COVID Rep 05-09-2020,60.0,2020-05-09,5,,39,5688.0,Broward,56793.0,1292.0,92.0
Broward,23.0,58541.0,5858.0,9.0,64457,html version of FL COVID Rep 05-10-2020,58.0,2020-05-10,6,,39,5780.0,Broward,58085.0,456.0,78.0
Broward,21.0,60283.0,5882.0,9.0,66223,html version of FL COVID Rep 05-11-2020,58.0,2020-05-11,0,,39,5858.0,Broward,58541.0,1742.0,24.0
Broward,22.0,62101.0,5973.0,9.0,68134,html version of FL COVID Rep 05-12-2020,60.0,2020-05-12,1,,39,5882.0,Broward,60283.0,1818.0,91.0
Broward,21.0,63615.0,5998.0,9.0,69672,html version of FL COVID Rep 05-13-2020,59.0,2020-05-13,2,,39,5973.0,Broward,62101.0,1514.0,25.0
Broward,22.0,64903.0,6057.0,9.0,71019,html version of FL COVID Rep 05-14-2020,59.0,2020-05-14,3,,39,5998.0,Broward,63615.0,1288.0,59.0
Broward,21.0,65673.0,6133.0,9.0,71865,html version of FL COVID Rep 05-15-2020,59.0,2020-05-15,4,,39,6057.0,Broward,64903.0,770.0,76.0
Broward,22.0,66302.0,6201.0,9.0,72563,html version of FL COVID Rep 05-16-2020,60.0,2020-05-16,5,,39,6133.0,Broward,65673.0,629.0,68.0
Broward,38.0,67382.0,6243.0,8.0,73750,html version of FL COVID Rep 05-17-2020,125.0,2020-05-17,6,,39,6201.0,Broward,66302.0,1080.0,42.0
Broward,22.0,69638.0,6322.0,8.0,76085,html version of FL COVID Rep 05-18-2020,125.0,2020-05-18,0,,39,6243.0,Broward,67382.0,2256.0,79.0
Broward,22.0,72637.0,6369.0,8.0,79134,html version of FL COVID Rep 05-19-2020,128.0,2020-05-19,1,,39,6322.0,Broward,69638.0,2999.0,47.0
Broward,20.0,77301.0,6407.0,8.0,83836,html version of FL COVID Rep 05-20-2020,128.0,2020-05-20,2,,39,6369.0,Broward,72637.0,4664.0,38.0
Broward,21.0,80746.0,6514.0,7.0,87409,html version of FL COVID Rep 05-21-2020,149.0,2020-05-21,3,,39,6407.0,Broward,77301.0,3445.0,107.0
Broward,21.0,83279.0,6580.0,7.0,90007,html version of FL COVID Rep 05-22-2020,148.0,2020-05-22,4,,39,6514.0,Broward,80746.0,2533.0,66.0
Broward,22.0,85276.0,6649.0,7.0,92070,html version of FL COVID Rep 05-23-2020,145.0,2020-05-23,5,,39,6580.0,Broward,83279.0,1997.0,69.0
Broward,21.0,86062.0,6697.0,7.0,92904,html version of FL COVID Rep 05-24-2020,145.0,2020-05-24,6,,39,6649.0,Broward,85276.0,786.0,48.0
Broward,22.0,89317.0,6760.0,7.0,96222,html version of FL COVID Rep 05-25-2020,145.0,2020-05-25,0,,39,6697.0,Broward,86062.0,3255.0,63.0
Broward,21.0,90456.0,6799.0,7.0,97401,html version of FL COVID Rep 05-26-2020,146.0,2020-05-26,1,,39,6760.0,Broward,89317.0,1139.0,39.0
Broward,27.0,91015.0,6825.0,7.0,97986,html version of FL COVID Rep 05-27-2020,146.0,2020-05-27,2,,39,6799.0,Broward,90456.0,559.0,26.0
Broward,28.0,92788.0,6870.0,7.0,99805,html version of FL COVID Rep 05-28-2020,147.0,2020-05-28,3,,39,6825.0,Broward,91015.0,1773.0,45.0
Broward,24.0,96328.0,6975.0,7.0,103361,html version of FL COVID Rep 05-29-2020,58.0,2020-05-29,4,,39,6870.0,Broward,92788.0,3540.0,105.0
Broward,22.0,96884.0,7067.0,7.0,104009,html version of FL COVID Rep 05-30-2020,58.0,2020-05-30,5,,39,6975.0,Broward,96328.0,556.0,92.0
Broward,22.0,99515.0,7123.0,7.0,106696,html version of FL COVID Rep 05-31-2020,58.0,2020-05-31,6,,39,7067.0,Broward,96884.0,2631.0,56.0
Broward,20.0,101852.0,7196.0,7.0,109106,html version of FL COVID Rep 06-1-2020,58.0,2020-06-01,0,,38,7123.0,Broward,99515.0,2337.0,73.0
Broward,20.0,102563.0,7248.0,7.0,109870,html version of FL COVID Rep 06-2-2020,59.0,2020-06-02,1,,38,7196.0,Broward,101852.0,711.0,52.0
Broward,22.0,105392.0,7339.0,7.0,112789,html version of FL COVID Rep 06-03-2020,58.0,2020-06-03,2,,39,7248.0,Broward,102563.0,2829.0,91.0
Broward,23.0,107981.0,7462.0,6.0,115501,html version of FL COVID Rep 06-04-2020,58.0,2020-06-04,3,,39,7339.0,Broward,105392.0,2589.0,123.0
Broward,21.0,110902.0,7572.0,6.0,118534,html version of FL COVID Rep 06-05-2020,60.0,2020-06-05,4,,39,7462.0,Broward,107981.0,2921.0,110.0
Broward,21.0,113619.0,7690.0,6.0,121371,html version of FL COVID Rep 06-06-2020,62.0,2020-06-06,5,,39,7572.0,Broward,110902.0,2717.0,118.0
Broward,22.0,116961.0,7804.0,6.0,124827,html version of FL COVID Rep 06-07-2020,62.0,2020-06-07,6,,39,7690.0,Broward,113619.0,3342.0,114.0
Broward,24.0,118890.0,7924.0,6.0,126878,html version of FL COVID Rep 06-08-2020,64.0,2020-06-08,0,,39,7804.0,Broward,116961.0,1929.0,120.0
Broward,21.0,120899.0,8035.0,6.0,129001,html version of FL COVID Rep 06-09-2020,67.0,2020-06-09,1,,39,7924.0,Broward,118890.0,2009.0,111.0
Broward,22.0,122853.0,8193.0,6.0,131115,html version of FL COVID Rep 06-10-2020,69.0,2020-06-10,2,,39,8035.0,Broward,120899.0,1954.0,158.0
Broward,25.0,125090.0,8337.0,6.0,133497,html version of FL COVID Rep 06-11-2020,70.0,2020-06-11,3,,39,8193.0,Broward,122853.0,2237.0,144.0
Broward,25.0,128291.0,8589.0,6.0,136953,html version of FL COVID Rep 06-12-2020,73.0,2020-06-12,4,,39,8337.0,Broward,125090.0,3201.0,252.0
Broward,27.0,131636.0,8864.0,6.0,140572,html version of FL COVID Rep 06-13-2020,72.0,2020-06-13,5,,39,8589.0,Broward,128291.0,3345.0,275.0
Broward,26.0,133784.0,8928.0,6.0,142784,html version of FL COVID Rep 06-14-2020,72.0,2020-06-14,6,,39,8864.0,Broward,131636.0,2148.0,64.0
Broward,26.0,135310.0,9086.0,6.0,144469,html version of FL COVID Rep 06-15-2020,73.0,2020-06-15,0,,39,8928.0,Broward,133784.0,1526.0,158.0
Broward,26.0,139549.0,9498.0,6.0,149119,html version of FL COVID Rep 06-16-2020,72.0,2020-06-16,1,,39,9086.0,Broward,135310.0,4239.0,412.0
