COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,len_file_name,FILE_NAME_LEN,LAST_POS_COUNT,LAST_COUNTY,LAST_NEG_COUNT,NEW_NEGATIVES,NEW_CASES
Miami-Dade,174.0,90.0,25.0,9.0,289,html version of FL COVID Rep 03-16-2020,0.0,2020-03-16,0,,39,3058.0,Martin,18418.0,,
Miami-Dade,148.0,156.0,76.0,20.0,380,html version of FL COVID Rep 03-18-2020,0.0,2020-03-18,2,,39,25.0,Miami-Dade,90.0,66.0,51.0
Miami-Dade,123.0,204.0,86.0,21.0,413,html version of FL COVID Rep 03-19-2020,0.0,2020-03-19,3,,39,76.0,Miami-Dade,156.0,48.0,10.0
Miami-Dade,113.0,838.0,123.0,13.0,961,html version of FL COVID Rep 03-20-2020,0.0,2020-03-20,4,,39,86.0,Miami-Dade,204.0,634.0,37.0
Miami-Dade,97.0,1211.0,169.0,12.0,1381,html version of FL COVID Rep 03-21-2020(PM),1.0,2020-03-21,5,,43,123.0,Miami-Dade,838.0,373.0,46.0
Miami-Dade,82.0,1246.0,177.0,12.0,1424,html version of FL COVID Rep 03-22-2020,1.0,2020-03-22,6,,39,169.0,Miami-Dade,1211.0,35.0,8.0
Miami-Dade,93.0,1480.0,228.0,13.0,1709,html version of FL COVID Rep 03-22-2020(PM),1.0,2020-03-22,6,,43,177.0,Miami-Dade,1246.0,234.0,51.0
Miami-Dade,86.0,1736.0,267.0,13.0,2004,html version of FL COVID Rep 03-23-2020,1.0,2020-03-23,0,,39,228.0,Miami-Dade,1480.0,256.0,39.0
Miami-Dade,91.0,1845.0,278.0,13.0,2124,html version of FL COVID Rep 03-23-2020(PM),1.0,2020-03-23,0,,43,267.0,Miami-Dade,1736.0,109.0,11.0
Miami-Dade,74.0,2169.0,338.0,13.0,2507,html version of FL COVID Rep 03-24-2020,1.0,2020-03-24,1,,39,278.0,Miami-Dade,1845.0,324.0,60.0
Miami-Dade,83.0,2278.0,367.0,14.0,2645,html version of FL COVID Rep 03-24-2020(PM),1.0,2020-03-24,1,,43,338.0,Miami-Dade,2169.0,109.0,29.0
Miami-Dade,94.0,2505.0,400.0,14.0,2906,html version of FL COVID Rep 03-25-2020,0.0,2020-03-25,2,,39,367.0,Miami-Dade,2278.0,227.0,33.0
Miami-Dade,101.0,3375.0,491.0,13.0,3867,html version of FL COVID Rep 03-25-2020(PM),0.0,2020-03-25,2,,43,400.0,Miami-Dade,2505.0,870.0,91.0
Miami-Dade,88.0,3889.0,616.0,14.0,4506,html version of FL COVID Rep 03-26-2020,0.0,2020-03-26,3,,39,491.0,Miami-Dade,3375.0,514.0,125.0
Miami-Dade,103.0,4043.0,654.0,14.0,4699,html version of FL COVID Rep 03-26-2020(PM),0.0,2020-03-26,3,,43,616.0,Miami-Dade,3889.0,154.0,38.0
Miami-Dade,91.0,4604.0,763.0,14.0,5369,html version of FL COVID Rep 03-27-2020,0.0,2020-03-27,4,,39,654.0,Miami-Dade,4043.0,561.0,109.0
Miami-Dade,103.0,5143.0,869.0,14.0,6014,html version of FL COVID Rep 03-27-2020(PM),0.0,2020-03-27,4,,43,763.0,Miami-Dade,4604.0,539.0,106.0
Miami-Dade,97.0,5658.0,1003.0,15.0,6663,html version of FL COVID Rep 03-28-2020,0.0,2020-03-28,5,,39,869.0,Miami-Dade,5143.0,515.0,134.0
Miami-Dade,103.0,6088.0,1121.0,16.0,7211,html version of FL COVID Rep 03-28-2020(PM),0.0,2020-03-28,5,,43,1003.0,Miami-Dade,5658.0,430.0,118.0
Miami-Dade,102.0,6213.0,1192.0,16.0,7407,html version of FL COVID Rep 03-29-2020,0.0,2020-03-29,6,,39,1121.0,Miami-Dade,6088.0,125.0,71.0
Miami-Dade,79.0,7298.0,1474.0,17.0,8774,html version of FL COVID Rep 03-29-2020(PM),0.0,2020-03-29,6,,43,1192.0,Miami-Dade,6213.0,1085.0,282.0
Miami-Dade,78.0,7891.0,1632.0,17.0,9525,html version of FL COVID Rep 03-30-2020,0.0,2020-03-30,0,,39,1474.0,Miami-Dade,7298.0,593.0,158.0
Miami-Dade,90.0,8036.0,1701.0,17.0,9739,html version of FL COVID Rep 03-30-2020(PM),0.0,2020-03-30,0,,43,1632.0,Miami-Dade,7891.0,145.0,69.0
