,COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME,INCONCLUSIVE,DATE,DAY_OF_WEEK,NEW_NEGATIVES,NEW_CASES
9381,Highlands,7.0,7974,324.0,4.0,8311.0,html version of FL COVID Rep 06-28-2020,6.0,2020-06-28,6,392.0,-49.0
3354,Alachua,4.0,3809,183.0,5.0,4005.0,html version of FL COVID Rep 04-13-2020,9.0,2020-04-13,0,184.0,-32.0
2028,Broward,80.0,14348,1765.0,11.0,16193.0,html version of FL COVID Rep 04-04-2020(PM),0.0,2020-04-04,5,413.0,-27.0
6205,Jackson,0.0,871,106.0,11.0,977.0,html version of FL COVID Rep 05-13-2020,0.0,2020-05-13,2,8.0,-25.0
8963,Suwannee,0.0,2968,290.0,9.0,3259.0,html version of FL COVID Rep 06-22-2020,1.0,2020-06-22,0,14.0,-20.0
2217,Unknown,67.0,35,4.0,10.0,106.0,html version of FL COVID Rep 04-05-2020(PM),0.0,2020-04-05,6,0.0,-20.0
9122,Calhoun,0.0,692,70.0,9.0,764.0,html version of FL COVID Rep 06-24-2020,2.0,2020-06-24,2,5.0,-18.0
1407,Broward,101.0,9836,1137.0,10.0,11074.0,html version of FL COVID Rep 03-30-2020(PM),0.0,2020-03-30,0,52.0,-15.0
10433,Calhoun,1.0,1129,162.0,12.0,1298.0,html version of FL COVID Rep 07-13-2020,6.0,2020-07-13,0,47.0,-12.0
6281,Unknown,1.0,171,76.0,31.0,248.0,html version of FL COVID Rep 05-14-2020,0.0,2020-05-14,3,-7.0,-12.0
9602,Glades,0.0,476,164.0,26.0,640.0,html version of FL COVID Rep 07-01-2020,0.0,2020-07-01,2,2.0,-11.0
9021,Clay,0.0,14375,511.0,3.0,14890.0,html version of FL COVID Rep 06-23-2020,4.0,2020-06-23,1,81.0,-8.0
5690,Duval,80.0,28293,1077.0,4.0,29460.0,html version of FL COVID Rep 05-06-2020,10.0,2020-05-06,2,1025.0,-7.0
9331,Calhoun,1.0,715,72.0,9.0,790.0,html version of FL COVID Rep 06-27-2020,2.0,2020-06-27,5,10.0,-7.0
4861,Duval,71.0,18756,950.0,5.0,19786.0,html version of FL COVID Rep 04-24-2020,9.0,2020-04-24,4,749.0,-6.0
4051,Leon,5.0,2097,169.0,7.0,2273.0,html version of FL COVID Rep 04-18-2020,2.0,2020-04-18,5,26.0,-5.0
9464,Unknown,1.0,2165,138.0,6.0,2317.0,html version of FL COVID Rep 06-29-2020,13.0,2020-06-29,0,12.0,-5.0
8426,Unknown,0.0,1775,97.0,5.0,1887.0,html version of FL COVID Rep 06-15-2020,15.0,2020-06-15,0,1.0,-5.0
9815,Calhoun,0.0,864,93.0,10.0,959.0,html version of FL COVID Rep 07-04-2020,2.0,2020-07-04,5,14.0,-4.0
4647,Unknown,7.0,36,0.0,0.0,43.0,html version of FL COVID Rep 04-22-2020,0.0,2020-04-22,2,0.0,-4.0
4538,Santa Rosa,1.0,2076,140.0,6.0,2218.0,html version of FL COVID Rep 04-22-2020(PM),1.0,2020-04-22,2,8.0,-4.0
7872,Unknown,1.0,1513,93.0,6.0,1622.0,html version of FL COVID Rep 06-08-2020,15.0,2020-06-08,0,4.0,-4.0
2569,Unknown,36.0,59,2.0,3.0,97.0,html version of FL COVID Rep 04-07-2020,0.0,2020-04-07,1,23.0,-3.0
4522,Escambia,21.0,4898,415.0,8.0,5339.0,html version of FL COVID Rep 04-22-2020(PM),5.0,2020-04-22,2,121.0,-3.0
6223,Okeechobee,0.0,969,25.0,3.0,996.0,html version of FL COVID Rep 05-13-2020,2.0,2020-05-13,2,3.0,-3.0
3743,Unknown,11.0,33,3.0,8.0,47.0,html version of FL COVID Rep 04-16-2020(PM),0.0,2020-04-16,3,0.0,-3.0
3603,Gilchrist,0.0,138,3.0,2.0,141.0,html version of FL COVID Rep 04-15-2020(PM),0.0,2020-04-15,2,1.0,-3.0
3283,Sarasota,2.0,2215,230.0,9.0,2448.0,html version of FL COVID Rep 04-13-2020(PM),1.0,2020-04-13,0,5.0,-3.0
7319,Unknown,1.0,1352,83.0,6.0,1451.0,html version of FL COVID Rep 05-29-2020,15.0,2020-05-29,4,15.0,-3.0
2446,Duval,100.0,8839,521.0,6.0,9460.0,html version of FL COVID Rep 04-07-2020(PM),0.0,2020-04-07,1,102.0,-3.0
3221,Lake,18.0,2559,148.0,5.0,2725.0,html version of FL COVID Rep 04-12-2020,0.0,2020-04-12,6,47.0,-2.0
6813,Sumter,23.0,3456,252.0,7.0,3752.0,html version of FL COVID Rep 05-22-2020,21.0,2020-05-22,4,115.0,-2.0
5708,Sumter,24.0,1920,234.0,11.0,2178.0,html version of FL COVID Rep 05-06-2020,0.0,2020-05-06,2,35.0,-2.0
5987,Marion,217.0,6097,208.0,3.0,6523.0,html version of FL COVID Rep 05-10-2020,1.0,2020-05-10,6,322.0,-2.0
8612,Jackson,2.0,4243,327.0,7.0,4581.0,html version of FL COVID Rep 06-18-2020,9.0,2020-06-18,3,25.0,-2.0
5934,Jackson,0.0,712,72.0,9.0,784.0,html version of FL COVID Rep 05-09-2020,0.0,2020-05-09,5,17.0,-2.0
7575,St. Johns,5.0,11468,267.0,2.0,11762.0,html version of FL COVID Rep 06-04-2020,22.0,2020-06-04,3,214.0,-2.0
3852,Indian River,66.0,1149,83.0,7.0,1298.0,html version of FL COVID Rep 04-17-2020(PM),0.0,2020-04-17,4,4.0,-2.0
6919,Holmes,0.0,706,14.0,2.0,721.0,html version of FL COVID Rep 05-23-2020,1.0,2020-05-23,5,16.0,-2.0
6643,Holmes,0.0,576,10.0,2.0,587.0,html version of FL COVID Rep 05-19-2020,1.0,2020-05-19,1,7.0,-2.0
