COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Broward,223,250,80,14,553,html version of FL COVID Rep 03-18-2020
Dade,148,156,76,20,380,html version of FL COVID Rep 03-18-2020
Palm Beach,19,28,19,29,66,html version of FL COVID Rep 03-18-2020
Collier,53,37,13,13,103,html version of FL COVID Rep 03-18-2020
Duval,24,40,13,17,77,html version of FL COVID Rep 03-18-2020
Hillsborough,10,42,13,20,65,html version of FL COVID Rep 03-18-2020
Lee,22,29,10,16,61,html version of FL COVID Rep 03-18-2020
Pinellas,80,62,10,7,152,html version of FL COVID Rep 03-18-2020
Orange,14,20,9,21,43,html version of FL COVID Rep 03-18-2020
Volusia,7,23,9,23,39,html version of FL COVID Rep 03-18-2020
Manatee,10,27,8,18,45,html version of FL COVID Rep 03-18-2020
Osceola,38,14,8,13,60,html version of FL COVID Rep 03-18-2020
Alachua,46,63,7,6,116,html version of FL COVID Rep 03-18-2020
Seminole,20,14,7,17,41,html version of FL COVID Rep 03-18-2020
Clay,4,7,4,27,15,html version of FL COVID Rep 03-18-2020
Sarasota,46,129,4,2,179,html version of FL COVID Rep 03-18-2020
St. Johns,23,53,4,5,80,html version of FL COVID Rep 03-18-2020
Citrus,1,3,3,43,7,html version of FL COVID Rep 03-18-2020
Okaloosa,6,22,3,10,31,html version of FL COVID Rep 03-18-2020
Pasco,12,25,3,8,40,html version of FL COVID Rep 03-18-2020
Lake,1,7,2,20,10,html version of FL COVID Rep 03-18-2020
Brevard,1,6,1,13,8,html version of FL COVID Rep 03-18-2020
Charlotte,4,6,1,9,11,html version of FL COVID Rep 03-18-2020
Escambia,4,11,1,6,16,html version of FL COVID Rep 03-18-2020
Gadsden,0,0,1,100,1,html version of FL COVID Rep 03-18-2020
Leon,3,4,1,13,8,html version of FL COVID Rep 03-18-2020
Nassau,1,7,1,11,9,html version of FL COVID Rep 03-18-2020
Polk,12,21,1,3,34,html version of FL COVID Rep 03-18-2020
Santa Rosa,5,10,1,6,16,html version of FL COVID Rep 03-18-2020
Sumter,22,10,1,3,33,html version of FL COVID Rep 03-18-2020
Baker,0,4,0,0,4,html version of FL COVID Rep 03-18-2020
Bay,1,4,0,0,5,html version of FL COVID Rep 03-18-2020
Bradford,0,4,0,0,4,html version of FL COVID Rep 03-18-2020
Columbia,2,6,0,0,8,html version of FL COVID Rep 03-18-2020
Desoto,0,4,0,0,4,html version of FL COVID Rep 03-18-2020
Dixie,0,2,0,0,2,html version of FL COVID Rep 03-18-2020
Flagler,10,7,0,0,17,html version of FL COVID Rep 03-18-2020
Franklin,2,0,0,0,2,html version of FL COVID Rep 03-18-2020
Gilchrist,0,1,0,0,1,html version of FL COVID Rep 03-18-2020
Gulf,0,1,0,0,1,html version of FL COVID Rep 03-18-2020
Hardee,0,1,0,0,1,html version of FL COVID Rep 03-18-2020
Hendry,1,1,0,0,2,html version of FL COVID Rep 03-18-2020
Hernando,16,0,0,0,16,html version of FL COVID Rep 03-18-2020
Indian River,4,10,0,0,14,html version of FL COVID Rep 03-18-2020
Jackson,3,2,0,0,5,html version of FL COVID Rep 03-18-2020
Lafayette,0,1,0,0,1,html version of FL COVID Rep 03-18-2020
Levy,0,2,0,0,2,html version of FL COVID Rep 03-18-2020
Marion,6,19,0,0,25,html version of FL COVID Rep 03-18-2020
Martin,10,0,0,0,10,html version of FL COVID Rep 03-18-2020
Monroe,21,5,0,0,26,html version of FL COVID Rep 03-18-2020
Okeechobee,3,3,0,0,6,html version of FL COVID Rep 03-18-2020
Putnam,0,12,0,0,12,html version of FL COVID Rep 03-18-2020
St. Lucie,4,3,0,0,7,html version of FL COVID Rep 03-18-2020
Suwannee,0,3,0,0,3,html version of FL COVID Rep 03-18-2020
Union,0,3,0,0,3,html version of FL COVID Rep 03-18-2020
Unknown,2,0,0,0,2,html version of FL COVID Rep 03-18-2020
Walton,9,1,0,0,10,html version of FL COVID Rep 03-18-2020
Washington,1,0,0,0,1,html version of FL COVID Rep 03-18-2020
Total,954,1225,314,13,,html version of FL COVID Rep 03-18-2020
