COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Dade,97,1211,169,1,1381,12,html version of FL COVID Rep 03-21-2020(PM)
Broward,262,1313,164,0,1477,11,html version of FL COVID Rep 03-21-2020(PM)
Palm Beach,10,348,56,0,404,14,html version of FL COVID Rep 03-21-2020(PM)
Hillsborough,10,772,47,0,819,6,html version of FL COVID Rep 03-21-2020(PM)
Orange,14,454,29,0,483,6,html version of FL COVID Rep 03-21-2020(PM)
Pinellas,37,337,29,0,366,8,html version of FL COVID Rep 03-21-2020(PM)
Collier,30,158,28,0,186,15,html version of FL COVID Rep 03-21-2020(PM)
Alachua,27,393,25,0,418,6,html version of FL COVID Rep 03-21-2020(PM)
Duval,41,294,25,0,319,8,html version of FL COVID Rep 03-21-2020(PM)
Osceola,65,139,21,0,160,13,html version of FL COVID Rep 03-21-2020(PM)
Lee,38,117,17,0,134,13,html version of FL COVID Rep 03-21-2020(PM)
Sarasota,47,257,14,0,271,5,html version of FL COVID Rep 03-21-2020(PM)
Manatee,8,80,13,0,93,14,html version of FL COVID Rep 03-21-2020(PM)
Okaloosa,4,41,12,0,53,23,html version of FL COVID Rep 03-21-2020(PM)
Seminole,31,120,12,0,132,9,html version of FL COVID Rep 03-21-2020(PM)
Volusia,5,67,11,0,78,14,html version of FL COVID Rep 03-21-2020(PM)
Polk,21,140,10,0,150,7,html version of FL COVID Rep 03-21-2020(PM)
St. Johns,22,171,9,0,180,5,html version of FL COVID Rep 03-21-2020(PM)
Citrus,19,32,8,0,40,20,html version of FL COVID Rep 03-21-2020(PM)
Pasco,16,133,8,0,141,6,html version of FL COVID Rep 03-21-2020(PM)
Clay,8,56,6,0,62,10,html version of FL COVID Rep 03-21-2020(PM)
Hernando,10,38,6,0,44,14,html version of FL COVID Rep 03-21-2020(PM)
Brevard,5,62,5,0,67,7,html version of FL COVID Rep 03-21-2020(PM)
Indian River,9,47,5,0,52,10,html version of FL COVID Rep 03-21-2020(PM)
Lake,4,63,4,0,67,6,html version of FL COVID Rep 03-21-2020(PM)
Leon,1,93,4,0,97,4,html version of FL COVID Rep 03-21-2020(PM)
Sumter,2,47,4,0,51,8,html version of FL COVID Rep 03-21-2020(PM)
Walton,13,18,4,0,22,18,html version of FL COVID Rep 03-21-2020(PM)
Santa Rosa,1,27,3,0,30,10,html version of FL COVID Rep 03-21-2020(PM)
Charlotte,0,42,2,0,44,5,html version of FL COVID Rep 03-21-2020(PM)
Marion,44,51,2,0,53,4,html version of FL COVID Rep 03-21-2020(PM)
Baker,4,9,1,0,10,10,html version of FL COVID Rep 03-21-2020(PM)
Bay,5,18,1,0,19,5,html version of FL COVID Rep 03-21-2020(PM)
Escambia,2,29,1,0,30,3,html version of FL COVID Rep 03-21-2020(PM)
Gadsden,0,12,1,0,13,8,html version of FL COVID Rep 03-21-2020(PM)
Jackson,8,9,1,0,10,10,html version of FL COVID Rep 03-21-2020(PM)
Martin,5,28,1,0,29,3,html version of FL COVID Rep 03-21-2020(PM)
Monroe,20,29,1,0,30,3,html version of FL COVID Rep 03-21-2020(PM)
Nassau,2,17,1,0,18,6,html version of FL COVID Rep 03-21-2020(PM)
Putnam,5,39,1,0,40,3,html version of FL COVID Rep 03-21-2020(PM)
St. Lucie,6,68,1,0,69,1,html version of FL COVID Rep 03-21-2020(PM)
Unknown,1,5,1,0,6,17,html version of FL COVID Rep 03-21-2020(PM)
Bradford,1,9,0,0,9,0,html version of FL COVID Rep 03-21-2020(PM)
Calhoun,1,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Columbia,14,15,0,0,15,0,html version of FL COVID Rep 03-21-2020(PM)
Desoto,3,5,0,0,5,0,html version of FL COVID Rep 03-21-2020(PM)
Dixie,0,4,0,0,4,0,html version of FL COVID Rep 03-21-2020(PM)
Flagler,1,46,0,0,46,0,html version of FL COVID Rep 03-21-2020(PM)
Franklin,2,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Gilchrist,0,2,0,0,2,0,html version of FL COVID Rep 03-21-2020(PM)
Gulf,6,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Hamilton,1,1,0,0,1,0,html version of FL COVID Rep 03-21-2020(PM)
Hardee,0,4,0,0,4,0,html version of FL COVID Rep 03-21-2020(PM)
Hendry,2,6,0,0,6,0,html version of FL COVID Rep 03-21-2020(PM)
Highlands,0,8,0,0,8,0,html version of FL COVID Rep 03-21-2020(PM)
Holmes,0,2,0,0,2,0,html version of FL COVID Rep 03-21-2020(PM)
Jefferson,0,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Lafayette,1,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Levy,0,13,0,0,13,0,html version of FL COVID Rep 03-21-2020(PM)
Madison,0,3,0,0,3,0,html version of FL COVID Rep 03-21-2020(PM)
Okeechobee,5,10,0,0,10,0,html version of FL COVID Rep 03-21-2020(PM)
Suwannee,6,7,0,0,7,0,html version of FL COVID Rep 03-21-2020(PM)
Taylor,0,6,0,0,6,0,html version of FL COVID Rep 03-21-2020(PM)
Union,0,14,0,0,14,0,html version of FL COVID Rep 03-21-2020(PM)
Wakulla,0,8,0,0,8,0,html version of FL COVID Rep 03-21-2020(PM)
Washington,2,8,0,0,8,0,html version of FL COVID Rep 03-21-2020(PM)
Total,1004,7570,763,1,8334,9,html version of FL COVID Rep 03-21-2020(PM)
