COUNTY,AWAITING_TESTING,NEGATIVE,POSITIVE,INCONCLUSIVE,TOTAL_TESTED,PERCENT_POSITIVE,FILE_NAME
Dade,74,2169,338,1,2507,13,html version of FL COVID Rep 03-24-2020
Broward,182,2121,311,,2432,13,html version of FL COVID Rep 03-24-2020
Palm Beach,13,623,101,,724,14,html version of FL COVID Rep 03-24-2020
Hillsborough,5,1296,91,,1387,7,html version of FL COVID Rep 03-24-2020
Duval,44,540,50,,590,8,html version of FL COVID Rep 03-24-2020
Orange,19,732,50,,782,6,html version of FL COVID Rep 03-24-2020
Pinellas,39,598,45,,643,7,html version of FL COVID Rep 03-24-2020
Collier,39,345,41,,386,11,html version of FL COVID Rep 03-24-2020
Alachua,42,590,37,,627,6,html version of FL COVID Rep 03-24-2020
Lee,28,245,32,,277,12,html version of FL COVID Rep 03-24-2020
Osceola,67,192,26,,218,12,html version of FL COVID Rep 03-24-2020
Sarasota,68,342,26,,368,7,html version of FL COVID Rep 03-24-2020
Seminole,28,262,23,,285,8,html version of FL COVID Rep 03-24-2020
St. Johns,26,243,22,,265,8,html version of FL COVID Rep 03-24-2020
Volusia,9,148,18,,166,11,html version of FL COVID Rep 03-24-2020
Manatee,7,116,16,,132,12,html version of FL COVID Rep 03-24-2020
Pasco,19,222,15,,237,6,html version of FL COVID Rep 03-24-2020
Lake,3,167,14,,181,8,html version of FL COVID Rep 03-24-2020
Okaloosa,15,62,14,,76,18,html version of FL COVID Rep 03-24-2020
Polk,27,228,13,,241,5,html version of FL COVID Rep 03-24-2020
Indian River,5,89,11,,100,11,html version of FL COVID Rep 03-24-2020
Clay,7,86,10,,96,10,html version of FL COVID Rep 03-24-2020
Escambia,6,118,10,,128,8,html version of FL COVID Rep 03-24-2020
Sumter,6,76,10,,86,12,html version of FL COVID Rep 03-24-2020
Walton,9,32,10,,42,24,html version of FL COVID Rep 03-24-2020
Brevard,4,136,9,,145,6,html version of FL COVID Rep 03-24-2020
Citrus,5,73,9,,82,11,html version of FL COVID Rep 03-24-2020
Leon,2,188,8,,196,4,html version of FL COVID Rep 03-24-2020
St. Lucie,3,107,6,,113,5,html version of FL COVID Rep 03-24-2020
Hernando,6,76,5,,81,6,html version of FL COVID Rep 03-24-2020
Baker,1,16,4,,20,20,html version of FL COVID Rep 03-24-2020
Flagler,2,55,4,,59,7,html version of FL COVID Rep 03-24-2020
Highlands,3,14,4,,18,22,html version of FL COVID Rep 03-24-2020
Marion,63,97,4,,101,4,html version of FL COVID Rep 03-24-2020
Martin,1,77,4,,81,5,html version of FL COVID Rep 03-24-2020
Santa Rosa,4,73,4,,77,5,html version of FL COVID Rep 03-24-2020
Charlotte,2,61,3,,64,5,html version of FL COVID Rep 03-24-2020
Columbia,23,30,3,,33,9,html version of FL COVID Rep 03-24-2020
Monroe,22,50,3,,53,6,html version of FL COVID Rep 03-24-2020
Putnam,28,81,2,,83,2,html version of FL COVID Rep 03-24-2020
Bay,2,37,1,,38,3,html version of FL COVID Rep 03-24-2020
Bradford,3,19,1,,20,5,html version of FL COVID Rep 03-24-2020
Desoto,14,11,1,,12,8,html version of FL COVID Rep 03-24-2020
Gadsden,0,18,1,,19,5,html version of FL COVID Rep 03-24-2020
Jackson,6,23,1,,24,4,html version of FL COVID Rep 03-24-2020
Nassau,2,25,1,,26,4,html version of FL COVID Rep 03-24-2020
Calhoun,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Dixie,0,8,0,,8,0,html version of FL COVID Rep 03-24-2020
Franklin,0,11,0,,11,0,html version of FL COVID Rep 03-24-2020
Gilchrist,0,7,0,,7,0,html version of FL COVID Rep 03-24-2020
Glades,0,1,0,,1,0,html version of FL COVID Rep 03-24-2020
Gulf,6,12,0,,12,0,html version of FL COVID Rep 03-24-2020
Hamilton,0,8,0,,8,0,html version of FL COVID Rep 03-24-2020
Hardee,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Hendry,3,15,0,,15,0,html version of FL COVID Rep 03-24-2020
Holmes,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Jefferson,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Lafayette,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Levy,0,23,0,,23,0,html version of FL COVID Rep 03-24-2020
Liberty,0,1,0,,1,0,html version of FL COVID Rep 03-24-2020
Madison,0,6,0,,6,0,html version of FL COVID Rep 03-24-2020
Okeechobee,4,17,0,,17,0,html version of FL COVID Rep 03-24-2020
Suwannee,7,14,0,,14,0,html version of FL COVID Rep 03-24-2020
Taylor,0,12,0,,12,0,html version of FL COVID Rep 03-24-2020
Union,1,19,0,,19,0,html version of FL COVID Rep 03-24-2020
Unknown,0,4,0,,4,0,html version of FL COVID Rep 03-24-2020
Wakulla,1,21,0,,21,0,html version of FL COVID Rep 03-24-2020
Washington,2,9,0,,9,0,html version of FL COVID Rep 03-24-2020
Total,1007,13127,1412,,14539,10,html version of FL COVID Rep 03-24-2020
