COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,209,56,23313,5461,19,28830,html version of FL COVID Rep 04-08-2020(PM)
Broward,60,14,17505,2365,12,19884,html version of FL COVID Rep 04-08-2020(PM)
Palm Beach,133,2,5417,1224,18,6643,html version of FL COVID Rep 04-08-2020(PM)
Orange,21,0,7750,824,10,8574,html version of FL COVID Rep 04-08-2020(PM)
Hillsborough,10,5,9016,631,7,9652,html version of FL COVID Rep 04-08-2020(PM)
Duval,93,10,9114,557,6,9681,html version of FL COVID Rep 04-08-2020(PM)
Lee,18,2,4031,476,11,4509,html version of FL COVID Rep 04-08-2020(PM)
Pinellas,80,6,7008,395,5,7409,html version of FL COVID Rep 04-08-2020(PM)
Collier,22,0,2290,282,11,2572,html version of FL COVID Rep 04-08-2020(PM)
Osceola,69,1,1624,277,15,1902,html version of FL COVID Rep 04-08-2020(PM)
Seminole,16,1,2208,218,9,2427,html version of FL COVID Rep 04-08-2020(PM)
Polk,17,1,2992,206,6,3199,html version of FL COVID Rep 04-08-2020(PM)
Sarasota,4,1,1445,184,11,1630,html version of FL COVID Rep 04-08-2020(PM)
Escambia,1,1,2548,182,7,2731,html version of FL COVID Rep 04-08-2020(PM)
Manatee,1,0,1003,172,15,1175,html version of FL COVID Rep 04-08-2020(PM)
Volusia,9,1,1634,165,9,1800,html version of FL COVID Rep 04-08-2020(PM)
St. Johns,24,1,2472,156,6,2629,html version of FL COVID Rep 04-08-2020(PM)
Alachua,8,8,2666,144,5,2818,html version of FL COVID Rep 04-08-2020(PM)
Lake,15,1,2132,139,6,2272,html version of FL COVID Rep 04-08-2020(PM)
St. Lucie,34,0,1381,129,9,1510,html version of FL COVID Rep 04-08-2020(PM)
Pasco,28,2,2680,127,5,2809,html version of FL COVID Rep 04-08-2020(PM)
Martin,5,0,842,108,11,950,html version of FL COVID Rep 04-08-2020(PM)
Brevard,2,1,1702,105,6,1808,html version of FL COVID Rep 04-08-2020(PM)
Clay,5,1,1410,99,7,1510,html version of FL COVID Rep 04-08-2020(PM)
Sumter,15,1,910,91,9,1002,html version of FL COVID Rep 04-08-2020(PM)
Okaloosa,45,0,622,78,11,700,html version of FL COVID Rep 04-08-2020(PM)
Charlotte,6,1,696,76,10,773,html version of FL COVID Rep 04-08-2020(PM)
