COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,267,166,59558,10926,15,70650,html version of FL COVID Rep 04-24-2020(PM)
Broward,45,36,35800,4591,11,40427,html version of FL COVID Rep 04-24-2020(PM)
Palm Beach,54,268,19281,2600,12,22149,html version of FL COVID Rep 04-24-2020(PM)
Orange,15,3,19282,1290,6,20575,html version of FL COVID Rep 04-24-2020(PM)
Hillsborough,11,36,16044,1022,6,17102,html version of FL COVID Rep 04-24-2020(PM)
Duval,72,9,18751,955,5,19715,html version of FL COVID Rep 04-24-2020(PM)
Lee,21,2,8453,940,10,9395,html version of FL COVID Rep 04-24-2020(PM)
Pinellas,115,9,11422,673,6,12104,html version of FL COVID Rep 04-24-2020(PM)
Collier,15,1,4319,526,11,4846,html version of FL COVID Rep 04-24-2020(PM)
Manatee,3,2,2630,491,16,3123,html version of FL COVID Rep 04-24-2020(PM)
Osceola,60,1,3929,461,10,4391,html version of FL COVID Rep 04-24-2020(PM)
Escambia,25,7,5295,434,8,5736,html version of FL COVID Rep 04-24-2020(PM)
Volusia,2,2,6580,428,6,7010,html version of FL COVID Rep 04-24-2020(PM)
Polk,7,2,5623,393,7,6018,html version of FL COVID Rep 04-24-2020(PM)
Seminole,6,3,4389,348,7,4740,html version of FL COVID Rep 04-24-2020(PM)
Sarasota,1,1,3728,314,8,4043,html version of FL COVID Rep 04-24-2020(PM)
Clay,1,1,3074,266,8,3341,html version of FL COVID Rep 04-24-2020(PM)
Brevard,2,3,6565,247,4,6815,html version of FL COVID Rep 04-24-2020(PM)
Alachua,,7,5775,244,4,6026,html version of FL COVID Rep 04-24-2020(PM)
Pasco,32,6,4560,230,5,4796,html version of FL COVID Rep 04-24-2020(PM)
St. Lucie,56,2,2459,223,8,2684,html version of FL COVID Rep 04-24-2020(PM)
Lake,10,1,4367,219,5,4587,html version of FL COVID Rep 04-24-2020(PM)
Leon,8,2,2687,207,7,2896,html version of FL COVID Rep 04-24-2020(PM)
St. Johns,13,1,4180,203,5,4384,html version of FL COVID Rep 04-24-2020(PM)
Charlotte,6,2,1584,199,11,1785,html version of FL COVID Rep 04-24-2020(PM)
Martin,5,,1392,169,11,1561,html version of FL COVID Rep 04-24-2020(PM)
Sumter,26,,1527,167,10,1694,html version of FL COVID Rep 04-24-2020(PM)
Marion,247,2,3427,148,4,3577,html version of FL COVID Rep 04-24-2020(PM)
Okaloosa,11,,1798,145,7,1943,html version of FL COVID Rep 04-24-2020(PM)
Santa Rosa,1,1,2170,143,6,2314,html version of FL COVID Rep 04-24-2020(PM)
Suwannee,2,,406,107,21,513,html version of FL COVID Rep 04-24-2020(PM)
Flagler,,1,1050,106,9,1157,html version of FL COVID Rep 04-24-2020(PM)
Citrus,1,1,1336,95,7,1432,html version of FL COVID Rep 04-24-2020(PM)
Indian River,66,,1379,89,6,1468,html version of FL COVID Rep 04-24-2020(PM)
Hernando,,,1387,86,6,1473,html version of FL COVID Rep 04-24-2020(PM)
Putnam,3,,1068,81,7,1149,html version of FL COVID Rep 04-24-2020(PM)
Gadsden,1,,355,79,18,434,html version of FL COVID Rep 04-24-2020(PM)
Monroe,24,,997,77,7,1074,html version of FL COVID Rep 04-24-2020(PM)
Highlands,,1,911,76,8,988,html version of FL COVID Rep 04-24-2020(PM)
Hendry,1,,352,64,15,416,html version of FL COVID Rep 04-24-2020(PM)
Bay,,1,955,63,6,1019,html version of FL COVID Rep 04-24-2020(PM)
Nassau,,,1223,49,4,1272,html version of FL COVID Rep 04-24-2020(PM)
Columbia,6,,745,46,6,791,html version of FL COVID Rep 04-24-2020(PM)
Bradford,3,,637,42,6,679,html version of FL COVID Rep 04-24-2020(PM)
Madison,96,,225,41,15,266,html version of FL COVID Rep 04-24-2020(PM)
Walton,,1,483,35,7,519,html version of FL COVID Rep 04-24-2020(PM)
Jefferson,1,,105,27,20,132,html version of FL COVID Rep 04-24-2020(PM)
Desoto,4,,444,24,5,468,html version of FL COVID Rep 04-24-2020(PM)
Baker,,,305,20,6,325,html version of FL COVID Rep 04-24-2020(PM)
Wakulla,,,244,20,8,264,html version of FL COVID Rep 04-24-2020(PM)
Levy,,,458,13,3,471,html version of FL COVID Rep 04-24-2020(PM)
Jackson,,,355,13,4,368,html version of FL COVID Rep 04-24-2020(PM)
Washington,1,,260,12,4,272,html version of FL COVID Rep 04-24-2020(PM)
Holmes,6,,445,9,2,454,html version of FL COVID Rep 04-24-2020(PM)
Okeechobee,2,,298,9,3,307,html version of FL COVID Rep 04-24-2020(PM)
Hardee,,,100,9,8,109,html version of FL COVID Rep 04-24-2020(PM)
Hamilton,5,,116,6,5,122,html version of FL COVID Rep 04-24-2020(PM)
Calhoun,,,95,6,6,101,html version of FL COVID Rep 04-24-2020(PM)
Dixie,1,,176,5,3,181,html version of FL COVID Rep 04-24-2020(PM)
Glades,,,43,5,10,48,html version of FL COVID Rep 04-24-2020(PM)
Gilchrist,1,,196,4,2,200,html version of FL COVID Rep 04-24-2020(PM)
Union,1,,183,4,2,187,html version of FL COVID Rep 04-24-2020(PM)
Taylor,2,,189,3,2,192,html version of FL COVID Rep 04-24-2020(PM)
Franklin,,,79,2,2,81,html version of FL COVID Rep 04-24-2020(PM)
Liberty,,,40,2,5,42,html version of FL COVID Rep 04-24-2020(PM)
Gulf,,,115,1,1,116,html version of FL COVID Rep 04-24-2020(PM)
Lafayette,,,61,1,2,62,html version of FL COVID Rep 04-24-2020(PM)
Unknown,1,,40,,,40,html version of FL COVID Rep 04-24-2020(PM)
Total,1365,581,288505,30533,10,319619,html version of FL COVID Rep 04-24-2020(PM)
