COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,170,505,321157,51058,14,372720,html version of FL COVID Rep 07-07-2020
Broward,39,126,210700,22595,10,233421,html version of FL COVID Rep 07-07-2020
Palm Beach,175,254,146480,17638,11,164372,html version of FL COVID Rep 07-07-2020
Hillsborough,136,114,131032,15362,10,146508,html version of FL COVID Rep 07-07-2020
Orange,149,182,143671,14768,9,158621,html version of FL COVID Rep 07-07-2020
Duval,70,176,112122,9835,8,122133,html version of FL COVID Rep 07-07-2020
Pinellas,44,49,98879,9032,8,107960,html version of FL COVID Rep 07-07-2020
Lee,21,21,58058,7859,12,65938,html version of FL COVID Rep 07-07-2020
Polk,22,50,49135,5665,10,54850,html version of FL COVID Rep 07-07-2020
Collier,110,26,32626,5201,14,37853,html version of FL COVID Rep 07-07-2020
Manatee,3,27,43383,3890,8,47300,html version of FL COVID Rep 07-07-2020
Seminole,22,33,39024,3522,8,42579,html version of FL COVID Rep 07-07-2020
Osceola,58,53,27837,3190,10,31080,html version of FL COVID Rep 07-07-2020
Escambia,7,12,35710,3059,8,38781,html version of FL COVID Rep 07-07-2020
Pasco,39,17,37916,3004,7,40937,html version of FL COVID Rep 07-07-2020
Volusia,12,32,42170,2951,7,45153,html version of FL COVID Rep 07-07-2020
Brevard,3,10,50659,2705,5,53374,html version of FL COVID Rep 07-07-2020
Martin,39,23,16026,2461,13,18510,html version of FL COVID Rep 07-07-2020
St. Lucie,100,12,23143,2355,9,25510,html version of FL COVID Rep 07-07-2020
Sarasota,7,5,39048,2249,5,41302,html version of FL COVID Rep 07-07-2020
Lake,43,23,36687,1998,5,38708,html version of FL COVID Rep 07-07-2020
Leon,10,78,33425,1911,5,35414,html version of FL COVID Rep 07-07-2020
Alachua,,11,44402,1701,4,46114,html version of FL COVID Rep 07-07-2020
St. Johns,34,29,22565,1433,6,24027,html version of FL COVID Rep 07-07-2020
Hendry,1,8,4678,1111,19,5797,html version of FL COVID Rep 07-07-2020
Clay,,14,18483,1074,5,19571,html version of FL COVID Rep 07-07-2020
Marion,128,5,25783,1043,4,26831,html version of FL COVID Rep 07-07-2020
Indian River,26,5,15563,969,6,16537,html version of FL COVID Rep 07-07-2020
Charlotte,6,6,12816,944,7,13766,html version of FL COVID Rep 07-07-2020
Santa Rosa,1,3,13657,941,6,14601,html version of FL COVID Rep 07-07-2020
Okaloosa,11,15,15347,938,6,16300,html version of FL COVID Rep 07-07-2020
Bay,2,14,8582,818,9,9414,html version of FL COVID Rep 07-07-2020
Desoto,6,6,4663,760,14,5429,html version of FL COVID Rep 07-07-2020
Suwannee,,4,4036,646,14,4686,html version of FL COVID Rep 07-07-2020
Hernando,2,2,10948,592,5,11542,html version of FL COVID Rep 07-07-2020
Putnam,2,1,6992,566,7,7559,html version of FL COVID Rep 07-07-2020
Hardee,1,2,2344,517,18,2863,html version of FL COVID Rep 07-07-2020
Sumter,24,8,8705,478,5,9191,html version of FL COVID Rep 07-07-2020
Gadsden,1,12,5975,474,7,6461,html version of FL COVID Rep 07-07-2020
Okeechobee,,2,3707,451,11,4160,html version of FL COVID Rep 07-07-2020
Highlands,6,16,9611,435,4,10062,html version of FL COVID Rep 07-07-2020
Citrus,2,4,10754,419,4,11177,html version of FL COVID Rep 07-07-2020
Jackson,1,10,5331,415,7,5756,html version of FL COVID Rep 07-07-2020
Flagler,7,5,8728,410,4,9143,html version of FL COVID Rep 07-07-2020
Monroe,39,,6347,398,6,6745,html version of FL COVID Rep 07-07-2020
Hamilton,1,2,2579,392,13,2973,html version of FL COVID Rep 07-07-2020
Columbia,3,5,6250,377,6,6632,html version of FL COVID Rep 07-07-2020
Walton,1,4,3732,372,9,4108,html version of FL COVID Rep 07-07-2020
Nassau,10,6,8032,346,4,8384,html version of FL COVID Rep 07-07-2020
Madison,1,5,2085,265,11,2355,html version of FL COVID Rep 07-07-2020
Liberty,,2,2147,245,10,2394,html version of FL COVID Rep 07-07-2020
Unknown,,15,2645,231,8,2891,html version of FL COVID Rep 07-07-2020
Levy,,2,3376,218,6,3596,html version of FL COVID Rep 07-07-2020
Holmes,,4,2440,201,8,2645,html version of FL COVID Rep 07-07-2020
Glades,,1,539,188,26,728,html version of FL COVID Rep 07-07-2020
Washington,3,1,1867,131,7,1999,html version of FL COVID Rep 07-07-2020
Gilchrist,,3,2370,122,5,2495,html version of FL COVID Rep 07-07-2020
Baker,1,,1969,110,5,2079,html version of FL COVID Rep 07-07-2020
Bradford,1,2,2764,102,4,2868,html version of FL COVID Rep 07-07-2020
Taylor,,2,1486,102,6,1590,html version of FL COVID Rep 07-07-2020
Calhoun,1,3,904,101,10,1008,html version of FL COVID Rep 07-07-2020
Wakulla,2,4,2418,93,4,2515,html version of FL COVID Rep 07-07-2020
Union,,,2389,92,4,2481,html version of FL COVID Rep 07-07-2020
Dixie,,,1426,84,6,1510,html version of FL COVID Rep 07-07-2020
Jefferson,,1,1314,67,5,1382,html version of FL COVID Rep 07-07-2020
Gulf,1,,1863,57,3,1920,html version of FL COVID Rep 07-07-2020
Lafayette,,1,573,42,7,616,html version of FL COVID Rep 07-07-2020
Franklin,,,1327,15,1,1342,html version of FL COVID Rep 07-07-2020
Total,1604,2073,2055400,213794,9,2271267,html version of FL COVID Rep 07-07-2020
