COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,469,1975,642200,154216,19,798391,html version of FL COVID Rep 08-28-2020
Broward,108,879,422531,69951,14,493361,html version of FL COVID Rep 08-28-2020
Palm Beach,282,619,274987,41201,13,316807,html version of FL COVID Rep 08-28-2020
Hillsborough,229,528,236351,36417,13,273296,html version of FL COVID Rep 08-28-2020
Orange,401,294,268742,35034,12,304070,html version of FL COVID Rep 08-28-2020
Duval,212,217,207081,25897,11,233195,html version of FL COVID Rep 08-28-2020
Pinellas,12,132,171801,19595,10,191528,html version of FL COVID Rep 08-28-2020
Lee,36,76,108855,18170,14,127101,html version of FL COVID Rep 08-28-2020
Polk,67,109,95919,16635,15,112663,html version of FL COVID Rep 08-28-2020
Collier,34,75,57717,11413,16,69205,html version of FL COVID Rep 08-28-2020
Osceola,169,129,61430,10902,15,72461,html version of FL COVID Rep 08-28-2020
Manatee,14,74,83989,10231,11,94294,html version of FL COVID Rep 08-28-2020
Escambia,4,56,67699,10071,13,77826,html version of FL COVID Rep 08-28-2020
Volusia,85,110,74090,9111,11,83311,html version of FL COVID Rep 08-28-2020
Marion,19,111,52791,8308,14,61210,html version of FL COVID Rep 08-28-2020
Seminole,63,66,66958,7901,11,74925,html version of FL COVID Rep 08-28-2020
Pasco,139,55,68691,7898,10,76644,html version of FL COVID Rep 08-28-2020
Brevard,17,58,84977,7110,8,92145,html version of FL COVID Rep 08-28-2020
Sarasota,14,55,75551,7075,9,82681,html version of FL COVID Rep 08-28-2020
St. Lucie,293,57,42939,6870,14,49866,html version of FL COVID Rep 08-28-2020
Lake,177,90,67820,6236,8,74146,html version of FL COVID Rep 08-28-2020
Leon,18,123,65312,6001,8,71436,html version of FL COVID Rep 08-28-2020
Bay,10,65,25027,5234,17,30326,html version of FL COVID Rep 08-28-2020
Alachua,17,32,77687,5055,6,82774,html version of FL COVID Rep 08-28-2020
Santa Rosa,24,40,27453,4551,14,32044,html version of FL COVID Rep 08-28-2020
Martin,50,54,25453,4333,15,29840,html version of FL COVID Rep 08-28-2020
St. Johns,47,29,41769,4203,9,46001,html version of FL COVID Rep 08-28-2020
Okaloosa,48,46,27998,4066,13,32110,html version of FL COVID Rep 08-28-2020
Clay,20,23,35360,3850,10,39233,html version of FL COVID Rep 08-28-2020
Columbia,4,55,11853,3302,22,15210,html version of FL COVID Rep 08-28-2020
Indian River,48,14,27399,2793,9,30206,html version of FL COVID Rep 08-28-2020
Charlotte,10,34,26548,2616,9,29198,html version of FL COVID Rep 08-28-2020
Hernando,5,14,19565,2499,11,22078,html version of FL COVID Rep 08-28-2020
Suwannee,2,49,7551,2389,24,9989,html version of FL COVID Rep 08-28-2020
Jackson,7,13,12691,2295,15,14999,html version of FL COVID Rep 08-28-2020
Gadsden,5,43,12331,2260,15,14634,html version of FL COVID Rep 08-28-2020
Citrus,41,9,19504,2048,9,21561,html version of FL COVID Rep 08-28-2020
Hendry,,19,7196,1955,21,9170,html version of FL COVID Rep 08-28-2020
Sumter,22,19,18508,1810,9,20337,html version of FL COVID Rep 08-28-2020
Highlands,11,10,16346,1788,10,18144,html version of FL COVID Rep 08-28-2020
Putnam,3,12,12853,1755,12,14620,html version of FL COVID Rep 08-28-2020
Monroe,56,13,14078,1685,11,15776,html version of FL COVID Rep 08-28-2020
Nassau,34,18,15483,1515,9,17016,html version of FL COVID Rep 08-28-2020
Walton,,35,9372,1487,14,10894,html version of FL COVID Rep 08-28-2020
Desoto,6,8,8749,1465,14,10222,html version of FL COVID Rep 08-28-2020
Flagler,7,16,15783,1275,7,17074,html version of FL COVID Rep 08-28-2020
Okeechobee,2,15,8507,1215,12,9737,html version of FL COVID Rep 08-28-2020
Lafayette,3,12,1305,1184,47,2501,html version of FL COVID Rep 08-28-2020
Taylor,6,29,4533,1182,21,5744,html version of FL COVID Rep 08-28-2020
Baker,32,25,5490,1143,17,6658,html version of FL COVID Rep 08-28-2020
Hardee,4,9,5790,1076,16,6875,html version of FL COVID Rep 08-28-2020
Washington,12,21,5623,987,15,6631,html version of FL COVID Rep 08-28-2020
Levy,,9,6349,887,12,7245,html version of FL COVID Rep 08-28-2020
Wakulla,3,36,7879,874,10,8789,html version of FL COVID Rep 08-28-2020
Madison,1,11,4583,838,15,5432,html version of FL COVID Rep 08-28-2020
Gulf,2,5,4549,807,15,5361,html version of FL COVID Rep 08-28-2020
Bradford,1,22,4672,705,13,5399,html version of FL COVID Rep 08-28-2020
Dixie,1,12,3979,696,15,4687,html version of FL COVID Rep 08-28-2020
Hamilton,1,2,4542,687,13,5231,html version of FL COVID Rep 08-28-2020
Holmes,3,8,4022,605,13,4635,html version of FL COVID Rep 08-28-2020
Union,,16,8049,569,7,8634,html version of FL COVID Rep 08-28-2020
Calhoun,1,10,3926,553,12,4489,html version of FL COVID Rep 08-28-2020
Franklin,3,6,3953,525,12,4484,html version of FL COVID Rep 08-28-2020
Jefferson,1,15,2837,488,15,3340,html version of FL COVID Rep 08-28-2020
Glades,,1,801,453,36,1255,html version of FL COVID Rep 08-28-2020
Gilchrist,1,8,3652,451,11,4111,html version of FL COVID Rep 08-28-2020
Liberty,,,2834,431,13,3265,html version of FL COVID Rep 08-28-2020
Unknown,2,34,6383,246,4,6663,html version of FL COVID Rep 08-28-2020
Total,3418,6864,3919246,609074,13,4535184,html version of FL COVID Rep 08-28-2020
