County,Awaiting BPHL testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,103,2,4043,654,14%,4699,03-26-2020
Broward,330,0,4419,505,10%,4924,03-26-2020
Palm Beach,30,0,1205,174,13%,1379,03-26-2020
Hillsborough,7,0,2214,151,6%,2365,03-26-2020
Orange,25,0,1404,119,8%,1523,03-26-2020
Duval,287,0,1104,82,7%,1186,03-26-2020
Collier,71,0,627,67,10%,694,03-26-2020
Lee,30,0,695,66,9%,761,03-26-2020
Pinellas,54,0,1111,65,6%,1176,03-26-2020
Alachua,30,0,871,53,6%,924,03-26-2020
Osceola,68,0,303,45,13%,348,03-26-2020
Seminole,33,0,514,40,7%,554,03-26-2020
St. Johns,30,0,481,36,7%,517,03-26-2020
Sarasota,76,0,472,34,7%,506,03-26-2020
Volusia,6,0,336,34,9%,370,03-26-2020
Lake,9,0,427,26,6%,453,03-26-2020
Manatee,7,0,174,25,13%,199,03-26-2020
Sumter,13,1,270,24,8%,295,03-26-2020
Okaloosa,13,0,109,22,17%,131,03-26-2020
Pasco,20,0,436,21,5%,457,03-26-2020
Clay,10,0,175,20,10%,195,03-26-2020
Escambia,1,0,261,20,7%,281,03-26-2020
Polk,62,0,415,20,5%,435,03-26-2020
Brevard,24,0,273,14,5%,287,03-26-2020
Indian River,16,0,145,14,9%,159,03-26-2020
Monroe,34,0,91,14,13%,105,03-26-2020
Leon,4,0,294,13,4%,307,03-26-2020
Walton,10,0,59,13,18%,72,03-26-2020
Putnam,26,0,150,12,7%,162,03-26-2020
Santa Rosa,2,0,123,12,9%,135,03-26-2020
Citrus,14,0,114,11,9%,125,03-26-2020
Martin,6,0,103,11,10%,114,03-26-2020
St. Lucie,14,0,147,11,7%,158,03-26-2020
Hernando,2,0,133,9,6%,142,03-26-2020
Flagler,0,0,93,8,8%,101,03-26-2020
Baker,7,0,33,5,13%,38,03-26-2020
Desoto,17,0,28,5,15%,33,03-26-2020
Highlands,26,1,27,5,15%,33,03-26-2020
Marion,170,0,205,5,2%,210,03-26-2020
Nassau,1,0,57,5,8%,62,03-26-2020
Charlotte,5,0,118,4,3%,122,03-26-2020
Bay,4,0,62,3,5%,65,03-26-2020
Columbia,31,0,61,3,5%,64,03-26-2020
Bradford,1,0,36,1,3%,37,03-26-2020
Gadsden,0,0,29,1,3%,30,03-26-2020
Jackson,1,0,46,1,2%,47,03-26-2020
Washington,4,0,16,1,6%,17,03-26-2020
Calhoun,0,0,6,0,0%,6,03-26-2020
Dixie,0,0,15,0,0%,15,03-26-2020
Franklin,0,0,14,0,0%,14,03-26-2020
Gilchrist,0,0,15,0,0%,15,03-26-2020
Glades,0,0,2,0,0%,2,03-26-2020
Gulf,5,0,22,0,0%,22,03-26-2020
Hamilton,2,0,9,0,0%,9,03-26-2020
Hardee,0,0,8,0,0%,8,03-26-2020
Hendry,1,0,23,0,0%,23,03-26-2020
Holmes,5,0,16,0,0%,16,03-26-2020
Jefferson,0,0,8,0,0%,8,03-26-2020
Lafayette,1,0,8,0,0%,8,03-26-2020
Levy,0,0,42,0,0%,42,03-26-2020
Liberty,0,0,1,0,0%,1,03-26-2020
Madison,1,0,16,0,0%,16,03-26-2020
Okeechobee,8,0,26,0,0%,26,03-26-2020
Suwannee,13,0,30,0,0%,30,03-26-2020
Taylor,0,0,26,0,0%,26,03-26-2020
Union,1,0,28,0,0%,28,03-26-2020
Unknown,0,0,5,0,0%,5,03-26-2020
Wakulla,0,0,26,0,0%,26,03-26-2020
Total,1771,4,24855,2484,9%,27343,03-26-2020
