County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,153,6,16725,3890,19%,20621,04-04-2020
Broward,80,9,14348,1765,11%,16122,04-04-2020
Palm Beach,85,3,4201,954,18%,5158,04-04-2020
Orange,12,0,6142,657,10%,6799,04-04-2020
Hillsborough,7,3,7001,497,7%,7501,04-04-2020
Duval,142,0,6261,387,6%,6648,04-04-2020
Lee,19,0,3229,348,10%,3577,04-04-2020
Pinellas,76,10,5332,342,6%,5684,04-04-2020
Collier,26,0,1804,221,11%,2025,04-04-2020
Osceola,83,0,1187,216,15%,1403,04-04-2020
Seminole,16,1,1683,178,10%,1862,04-04-2020
Polk,18,2,1963,142,7%,2107,04-04-2020
Volusia,3,0,1178,134,10%,1312,04-04-2020
St. Johns,42,1,1749,132,7%,1882,04-04-2020
Manatee,3,0,719,129,15%,848,04-04-2020
Sarasota,10,0,1070,129,11%,1199,04-04-2020
Escambia,2,0,1390,118,8%,1508,04-04-2020
Alachua,14,2,1970,116,6%,2088,04-04-2020
Lake,9,4,1685,95,5%,1784,04-04-2020
Pasco,23,1,1948,90,4%,2039,04-04-2020
St. Lucie,20,0,871,76,8%,947,04-04-2020
Clay,5,0,928,74,7%,1002,04-04-2020
Sumter,11,1,818,73,8%,892,04-04-2020
Brevard,3,0,1047,72,6%,1119,04-04-2020
Okaloosa,42,0,390,59,13%,449,04-04-2020
Martin,6,0,561,53,9%,614,04-04-2020
Indian River,16,0,515,50,9%,565,04-04-2020
Santa Rosa,0,0,570,50,8%,620,04-04-2020
Charlotte,4,0,465,46,9%,511,04-04-2020
Leon,4,0,895,42,4%,937,04-04-2020
Marion,175,0,899,42,4%,941,04-04-2020
Monroe,94,0,312,42,12%,354,04-04-2020
Hernando,2,1,513,40,7%,554,04-04-2020
Citrus,5,0,416,34,8%,450,04-04-2020
Highlands,6,2,190,30,14%,222,04-04-2020
Flagler,2,2,314,29,8%,345,04-04-2020
Bay,2,0,246,23,9%,269,04-04-2020
Nassau,0,0,329,21,6%,350,04-04-2020
Walton,0,0,147,21,13%,168,04-04-2020
Putnam,5,0,448,18,4%,466,04-04-2020
Suwannee,3,0,124,17,12%,141,04-04-2020
Baker,1,0,116,11,9%,127,04-04-2020
Desoto,3,0,143,11,7%,154,04-04-2020
Columbia,20,0,216,10,4%,226,04-04-2020
Unknown,43,0,27,10,27%,37,04-04-2020
Bradford,4,0,117,6,5%,123,04-04-2020
Hendry,0,0,108,6,5%,114,04-04-2020
Madison,2,0,39,6,13%,45,04-04-2020
Wakulla,0,0,87,5,5%,92,04-04-2020
Gadsden,0,0,66,4,6%,70,04-04-2020
Glades,0,0,10,4,29%,14,04-04-2020
Jackson,4,0,104,4,4%,108,04-04-2020
Calhoun,0,0,26,3,10%,29,04-04-2020
Okeechobee,2,0,95,3,3%,98,04-04-2020
Levy,0,0,134,2,1%,136,04-04-2020
Dixie,0,0,60,1,2%,61,04-04-2020
Franklin,0,0,24,1,4%,25,04-04-2020
Gulf,0,0,50,1,2%,51,04-04-2020
Hardee,0,0,31,1,3%,32,04-04-2020
Holmes,5,0,45,1,2%,46,04-04-2020
Jefferson,0,0,23,1,4%,24,04-04-2020
Union,2,0,61,1,2%,62,04-04-2020
Washington,3,0,64,1,2%,65,04-04-2020
Gilchrist,0,0,61,0,0%,61,04-04-2020
Hamilton,2,0,36,0,0%,36,04-04-2020
Lafayette,0,0,22,0,0%,22,04-04-2020
Liberty,0,0,7,0,0%,7,04-04-2020
Taylor,0,0,46,0,0%,46,04-04-2020
Total,1319,48,94401,11545,11%,105994,04-04-2020
