County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date,file_name,Awaiting BPHL testing,Total,Awaiting Testing,New_Negatives,New_Cases
Alachua,,,34.0,4.0,5%,,03-16-2020,Florida COVID-19 Data 03-16-2020.txt,,76.0,38.0,,
Alachua,,,273.0,15.0,5%,288.0,03-20-2020,Florida COVID-19 Data 03-20-2020.txt,50.0,,,239.0,11.0
Alachua,,0.0,393.0,25.0,6%,418.0,03-21-2020,Florida COVID-19 Data 03-21-2020.txt,27.0,,,120.0,10.0
Alachua,,0.0,528.0,35.0,6%,563.0,03-22-2020,Florida COVID-19 Data 03-22-2020.txt,21.0,,,135.0,10.0
Alachua,,0.0,549.0,36.0,6%,585.0,03-23-2020,Florida COVID-19 Data 03-23-2020.txt,45.0,,,21.0,1.0
Alachua,,,590.0,37.0,6%,627.0,03-24-2020,Florida COVID-19 Data 03-24-2020.txt,42.0,,,41.0,1.0
Alachua,,0.0,749.0,46.0,6%,795.0,03-25-2020,Florida COVID-19 Data 03-25-2020.txt,53.0,,,159.0,9.0
Alachua,,0.0,871.0,53.0,6%,924.0,03-26-2020,Florida COVID-19 Data 03-26-2020.txt,30.0,,,122.0,7.0
Alachua,22.0,0.0,1008.0,60.0,6%,1068.0,03-27-2020,Florida COVID-19 Data 03-27-2020.txt,,,,137.0,7.0
Alachua,21.0,0.0,1111.0,68.0,6%,1179.0,03-28-2020,Florida COVID-19 Data 03-28-2020.txt,,,,103.0,8.0
Alachua,19.0,0.0,1177.0,72.0,6%,1249.0,03-29-2020,Florida COVID-19 Data 03-29-2020.txt,,,,66.0,4.0
Alachua,16.0,1.0,1230.0,80.0,6%,1311.0,03-30-2020,Florida COVID-19 Data 03-30-2020.txt,,,,53.0,8.0
Alachua,16.0,1.0,1340.0,87.0,6%,1428.0,03-31-2020,Florida COVID-19 Data 03-31-2020.txt,,,,110.0,7.0
Alachua,16.0,1.0,1417.0,90.0,6%,1508.0,04-01-2020,Florida COVID-19 Data 04-01-2020.txt,,,,77.0,3.0
Alachua,15.0,2.0,1554.0,95.0,6%,1651.0,04-02-2020,Florida COVID-19 Data 04-02-2020.txt,,,,137.0,5.0
Alachua,15.0,2.0,1805.0,110.0,6%,1917.0,04-03-2020,Florida COVID-19 Data 04-03-2020.txt,,,,251.0,15.0
Alachua,14.0,2.0,1970.0,116.0,6%,2088.0,04-04-2020,Florida COVID-19 Data 04-04-2020.txt,,,,165.0,6.0
Alachua,12.0,3.0,2090.0,123.0,6%,2216.0,04-05-2020,Florida COVID-19 Data 04-05-2020.txt,,,,120.0,7.0
Alachua,12.0,3.0,2203.0,133.0,6%,2339.0,04-06-2020,Florida COVID-19 Data 04-06-2020.txt,,,,113.0,10.0
Alachua,8.0,7.0,2527.0,139.0,5%,2673.0,04-07-2020,Florida COVID-19 Data 04-07-2020.txt,,,,324.0,6.0
Alachua,7.0,8.0,3052.0,154.0,5%,3214.0,04-09-2020,Florida COVID-19 Data 04-09-2020.txt,,,,525.0,15.0
Alachua,6.0,9.0,3317.0,167.0,5%,3493.0,04-10-2020,Florida COVID-19 Data 04-10-2020.txt,,,,265.0,13.0
Alachua,6.0,9.0,3466.0,174.0,5%,3649.0,04-11-2020,Florida COVID-19 Data 04-11-2020.txt,,,,149.0,7.0
Alachua,6.0,9.0,3625.0,215.0,6%,3849.0,04-12-2020,Florida COVID-19 Data 04-12-2020.txt,,,,159.0,41.0
Alachua,4.0,9.0,3801.0,187.0,5%,3997.0,04-13-2020,Florida COVID-19 Data 04-13-2020.txt,,,,176.0,-28.0
Alachua,4.0,10.0,3895.0,192.0,5%,4097.0,04-14-2020,Florida COVID-19 Data 04-14-2020.txt,,,,94.0,5.0
Alachua,4.0,11.0,4008.0,196.0,5%,4215.0,04-15-2020,Florida COVID-19 Data 04-15-2020.txt,,,,113.0,4.0
Alachua,4.0,10.0,4355.0,199.0,4%,4564.0,04-16-2020,Florida COVID-19 Data 04-16-2020.txt,,,,347.0,3.0
Alachua,4.0,9.0,4542.0,202.0,4%,4753.0,04-17-2020,Florida COVID-19 Data 04-17-2020.txt,,,,187.0,3.0
Alachua,3.0,8.0,4652.0,205.0,4%,4865.0,04-18-2020,Florida COVID-19 Data 04-18-2020.txt,,,,110.0,3.0
Alachua,3.0,8.0,4824.0,209.0,4%,5041.0,04-19-2020,Florida COVID-19 Data 04-19-2020.txt,,,,172.0,4.0
Alachua,3.0,8.0,4988.0,215.0,4%,5211.0,04-20-2020,Florida COVID-19 Data 04-20-2020.txt,,,,164.0,6.0
Alachua,3.0,8.0,5136.0,223.0,4%,5367.0,04-21-2020,Florida COVID-19 Data 04-21-2020.txt,,,,148.0,8.0
Alachua,,8.0,5271.0,226.0,4%,5505.0,04-22-2020,Florida COVID-19 Data 04-22-2020.txt,,,,135.0,3.0
Alachua,,8.0,5356.0,229.0,4%,5593.0,04-23-2020,Florida COVID-19 Data 04-23-2020.txt,,,,85.0,3.0
Alachua,,7.0,5775.0,240.0,4%,6022.0,04-24-2020,Florida COVID-19 Data 04-24-2020.txt,,,,419.0,11.0
Alachua,,7.0,5958.0,245.0,4%,6210.0,04-25-2020,Florida COVID-19 Data 04-25-2020.txt,,,,183.0,5.0
