County,Awaiting_testing,Inconclusive,Negative,Positive,Percent_positive,Total_tested,Date,file_name,Awaiting_BPHL_testing,Total,Awaiting_Testing,New_Negatives,New_Cases
Alachua,,,34,4,5%,,3/16/2020,Florida COVID-19 Data 03-16-2020.txt,,76,38,,
Alachua,,,273,15,5%,288,3/20/2020,Florida COVID-19 Data 03-20-2020.txt,50,,,239,11
Alachua,,0,393,25,6%,418,3/21/2020,Florida COVID-19 Data 03-21-2020.txt,27,,,120,10
Alachua,,0,528,35,6%,563,3/22/2020,Florida COVID-19 Data 03-22-2020.txt,21,,,135,10
Alachua,,0,549,36,6%,585,3/23/2020,Florida COVID-19 Data 03-23-2020.txt,45,,,21,1
Alachua,,,590,37,6%,627,3/24/2020,Florida COVID-19 Data 03-24-2020.txt,42,,,41,1
Alachua,,0,749,46,6%,795,3/25/2020,Florida COVID-19 Data 03-25-2020.txt,53,,,159,9
Alachua,,0,871,53,6%,924,3/26/2020,Florida COVID-19 Data 03-26-2020.txt,30,,,122,7
Alachua,22,0,1008,60,6%,1068,3/27/2020,Florida COVID-19 Data 03-27-2020.txt,,,,137,7
Alachua,21,0,1111,68,6%,1179,3/28/2020,Florida COVID-19 Data 03-28-2020.txt,,,,103,8
Alachua,19,0,1177,72,6%,1249,3/29/2020,Florida COVID-19 Data 03-29-2020.txt,,,,66,4
Alachua,16,1,1230,80,6%,1311,3/30/2020,Florida COVID-19 Data 03-30-2020.txt,,,,53,8
Alachua,16,1,1340,87,6%,1428,3/31/2020,Florida COVID-19 Data 03-31-2020.txt,,,,110,7
Alachua,16,1,1417,90,6%,1508,4/1/2020,Florida COVID-19 Data 04-01-2020.txt,,,,77,3
Alachua,15,2,1554,95,6%,1651,4/2/2020,Florida COVID-19 Data 04-02-2020.txt,,,,137,5
Alachua,15,2,1805,110,6%,1917,4/3/2020,Florida COVID-19 Data 04-03-2020.txt,,,,251,15
Alachua,14,2,1970,116,6%,2088,4/4/2020,Florida COVID-19 Data 04-04-2020.txt,,,,165,6
Alachua,12,3,2090,123,6%,2216,4/5/2020,Florida COVID-19 Data 04-05-2020.txt,,,,120,7
Alachua,12,3,2203,133,6%,2339,4/6/2020,Florida COVID-19 Data 04-06-2020.txt,,,,113,10
